year,decriminalized_countries,source_file,source_kind,period
1872,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1873,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1874,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1875,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1876,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1877,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1878,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1879,23,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1880,24,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1881,24,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1882,25,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1883,25,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1884,25,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1885,25,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1886,25,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1887,26,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1888,26,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1889,26,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1890,27,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1891,27,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1892,27,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1893,27,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1894,27,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1895,27,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1896,28,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1897,28,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1898,28,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1899,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1900,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1901,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1902,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1903,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1904,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1905,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1906,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1907,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1908,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1909,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1910,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1911,29,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1912,30,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1913,30,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1914,30,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1915,30,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1916,30,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1917,31,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1918,31,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1919,31,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1920,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1921,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1922,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1923,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1924,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1925,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1926,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1927,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1928,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1929,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1930,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1931,35,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1932,36,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1933,37,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1934,38,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1935,38,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1936,38,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1937,38,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1938,38,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1939,38,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1940,39,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1941,39,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1942,40,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1943,40,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1944,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1945,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1946,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1947,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1948,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1949,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1950,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1951,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1952,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1953,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1954,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1955,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1956,41,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1957,42,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1958,42,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1959,42,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1960,43,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1961,44,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1962,46,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1963,46,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1964,46,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1965,46,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1966,46,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1967,46,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1968,46,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1969,47,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1970,47,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1971,50,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1972,51,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1973,52,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1974,52,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1975,52,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1976,53,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1977,56,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1978,56,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1979,57,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1980,57,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1981,58,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1982,59,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1983,59,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1984,59,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1985,59,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1986,60,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1987,60,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1988,60,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1989,60,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1990,60,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1991,62,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1992,62,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1993,64,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1994,66,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1995,66,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1996,68,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1997,70,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1998,74,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
1999,75,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2000,77,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2001,78,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2002,78,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2003,80,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2004,82,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2005,82,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2006,82,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2007,82,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2008,84,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2009,84,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2010,85,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2011,85,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2012,87,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2013,87,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2014,88,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2015,88,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
2016,91,owid_same_sex_sexual_acts_legal_mignot.csv,Our World in Data current historical series,book
