year,series,value,source,source_cell,definition,unit,margin_of_error
2005,Stove,98.8,"Siebens 2013, Table 3, p10",,Gas or electric stove,percent of households,0.1
2011,Stove,98.6,"Siebens 2013, Table 3, p10",,Gas or electric stove,percent of households,0.1
1922,Vacuum,31.5,Greenwood et al. author workbook,"Appliances: row 3, columns 5-6",Vacuum,percent of households,
1923,Vacuum,33.5,Greenwood et al. author workbook,"Appliances: row 4, columns 5-6",Vacuum,percent of households,
1924,Vacuum,35.7,Greenwood et al. author workbook,"Appliances: row 5, columns 5-6",Vacuum,percent of households,
1925,Vacuum,36.0,Greenwood et al. author workbook,"Appliances: row 6, columns 5-6",Vacuum,percent of households,
1926,Vacuum,37.1,Greenwood et al. author workbook,"Appliances: row 7, columns 5-6",Vacuum,percent of households,
1927,Vacuum,38.8,Greenwood et al. author workbook,"Appliances: row 8, columns 5-6",Vacuum,percent of households,
1928,Vacuum,40.5,Greenwood et al. author workbook,"Appliances: row 9, columns 5-6",Vacuum,percent of households,
1929,Vacuum,43.6,Greenwood et al. author workbook,"Appliances: row 10, columns 5-6",Vacuum,percent of households,
1930,Vacuum,44.5,Greenwood et al. author workbook,"Appliances: row 11, columns 5-6",Vacuum,percent of households,
1931,Vacuum,45.4,Greenwood et al. author workbook,"Appliances: row 12, columns 5-6",Vacuum,percent of households,
1932,Vacuum,46.6,Greenwood et al. author workbook,"Appliances: row 13, columns 5-6",Vacuum,percent of households,
1933,Vacuum,48.6,Greenwood et al. author workbook,"Appliances: row 14, columns 5-6",Vacuum,percent of households,
1934,Vacuum,48.1,Greenwood et al. author workbook,"Appliances: row 15, columns 5-6",Vacuum,percent of households,
1935,Vacuum,48.3,Greenwood et al. author workbook,"Appliances: row 16, columns 5-6",Vacuum,percent of households,
1936,Vacuum,48.9,Greenwood et al. author workbook,"Appliances: row 17, columns 5-6",Vacuum,percent of households,
1937,Vacuum,48.8,Greenwood et al. author workbook,"Appliances: row 18, columns 5-6",Vacuum,percent of households,
1938,Vacuum,49.0,Greenwood et al. author workbook,"Appliances: row 19, columns 5-6",Vacuum,percent of households,
1939,Vacuum,48.4,Greenwood et al. author workbook,"Appliances: row 20, columns 5-6",Vacuum,percent of households,
1940,Vacuum,49.2,Greenwood et al. author workbook,"Appliances: row 21, columns 5-6",Vacuum,percent of households,
1941,Vacuum,49.7,Greenwood et al. author workbook,"Appliances: row 22, columns 5-6",Vacuum,percent of households,
1942,Vacuum,49.5,Greenwood et al. author workbook,"Appliances: row 23, columns 5-6",Vacuum,percent of households,
1943,Vacuum,49.0,Greenwood et al. author workbook,"Appliances: row 24, columns 5-6",Vacuum,percent of households,
1944,Vacuum,48.2,Greenwood et al. author workbook,"Appliances: row 25, columns 5-6",Vacuum,percent of households,
1945,Vacuum,46.9,Greenwood et al. author workbook,"Appliances: row 26, columns 5-6",Vacuum,percent of households,
1946,Vacuum,48.8,Greenwood et al. author workbook,"Appliances: row 27, columns 5-6",Vacuum,percent of households,
1947,Vacuum,49.5,Greenwood et al. author workbook,"Appliances: row 28, columns 5-6",Vacuum,percent of households,
1948,Vacuum,51.7,Greenwood et al. author workbook,"Appliances: row 29, columns 5-6",Vacuum,percent of households,
1949,Vacuum,52.8,Greenwood et al. author workbook,"Appliances: row 30, columns 5-6",Vacuum,percent of households,
1950,Vacuum,56.5,Greenwood et al. author workbook,"Appliances: row 31, columns 5-6",Vacuum,percent of households,
1951,Vacuum,57.7,Greenwood et al. author workbook,"Appliances: row 32, columns 5-6",Vacuum,percent of households,
1952,Vacuum,59.4,Greenwood et al. author workbook,"Appliances: row 33, columns 5-6",Vacuum,percent of households,
1953,Vacuum,60.5,Greenwood et al. author workbook,"Appliances: row 34, columns 5-6",Vacuum,percent of households,
1954,Vacuum,62.2,Greenwood et al. author workbook,"Appliances: row 35, columns 5-6",Vacuum,percent of households,
1955,Vacuum,64.3,Greenwood et al. author workbook,"Appliances: row 36, columns 5-6",Vacuum,percent of households,
1956,Vacuum,66.7,Greenwood et al. author workbook,"Appliances: row 37, columns 5-6",Vacuum,percent of households,
1957,Vacuum,68.3,Greenwood et al. author workbook,"Appliances: row 38, columns 5-6",Vacuum,percent of households,
1958,Vacuum,70.9,Greenwood et al. author workbook,"Appliances: row 39, columns 5-6",Vacuum,percent of households,
1959,Vacuum,72.5,Greenwood et al. author workbook,"Appliances: row 40, columns 5-6",Vacuum,percent of households,
1960,Vacuum,74.3,Greenwood et al. author workbook,"Appliances: row 41, columns 5-6",Vacuum,percent of households,
1961,Vacuum,76.4,Greenwood et al. author workbook,"Appliances: row 42, columns 5-6",Vacuum,percent of households,
1962,Vacuum,78.2,Greenwood et al. author workbook,"Appliances: row 43, columns 5-6",Vacuum,percent of households,
1963,Vacuum,79.5,Greenwood et al. author workbook,"Appliances: row 44, columns 5-6",Vacuum,percent of households,
1964,Vacuum,81.2,Greenwood et al. author workbook,"Appliances: row 45, columns 5-6",Vacuum,percent of households,
1965,Vacuum,83.5,Greenwood et al. author workbook,"Appliances: row 46, columns 5-6",Vacuum,percent of households,
1966,Vacuum,85.6,Greenwood et al. author workbook,"Appliances: row 47, columns 5-6",Vacuum,percent of households,
1967,Vacuum,87.0,Greenwood et al. author workbook,"Appliances: row 48, columns 5-6",Vacuum,percent of households,
1968,Vacuum,89.1,Greenwood et al. author workbook,"Appliances: row 49, columns 5-6",Vacuum,percent of households,
1969,Vacuum,90.7,Greenwood et al. author workbook,"Appliances: row 50, columns 5-6",Vacuum,percent of households,
1970,Vacuum,92.0,Greenwood et al. author workbook,"Appliances: row 51, columns 5-6",Vacuum,percent of households,
1971,Vacuum,94.4,Greenwood et al. author workbook,"Appliances: row 52, columns 5-6",Vacuum,percent of households,
1972,Vacuum,96.9,Greenwood et al. author workbook,"Appliances: row 53, columns 5-6",Vacuum,percent of households,
1973,Vacuum,97.5,Greenwood et al. author workbook,"Appliances: row 54, columns 5-6",Vacuum,percent of households,
1974,Vacuum,98.4,Greenwood et al. author workbook,"Appliances: row 55, columns 5-6",Vacuum,percent of households,
