year,source_year,source_series,oecd_value,value,series,unit,method,difference_pp
1900,1900,Latin America and Caribbean,23.0,23.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,Latin America and Caribbean,26.7,26.7,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,Latin America and Caribbean,32.0,32.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,Latin America and Caribbean,35.7,35.7,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,Latin America and Caribbean,42.7,42.7,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1950,1950,Latin America and Caribbean,54.0,54.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1960,1960,Latin America and Caribbean,55.5,55.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1970,1970,Latin America and Caribbean,65.4,65.4,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1980,1980,Latin America and Caribbean,71.5,71.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1990,1990,Latin America and Caribbean,83.3,83.3,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2000,2010,Latin America and Caribbean,90.0,90.0,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
2010,2000,Latin America and Caribbean,93.5,93.5,Latin America,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1870,1870,East Asia,24.3,24.3,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1880,1880,East Asia,25.6,25.6,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1890,1890,East Asia,27.6,27.6,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1900,1900,East Asia,30.2,30.2,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1910,1910,East Asia,32.8,32.8,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1920,1920,East Asia,35.9,35.9,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1930,1930,East Asia,37.9,37.9,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
1940,1940,East Asia,42.1,42.1,East Asia,percent of adults age 15+ with basic education; historical estimates,OECD decadal estimate,0.0
