year,entity_id,value,series,unit,source_version
1989,128,-1.47026,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1989,127,-0.40979,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1989,355,0.076614791,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1989,102,2.63359,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1990,355,0.10915891,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1990,102,2.6364,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1990,171,-1.22342,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1990,128,-1.37677,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1990,127,-0.486532,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1991,171,-1.01838,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1991,128,-1.2833,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1991,127,-0.481233,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1991,355,0.162073893,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1991,102,2.72554,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1992,355,0.201372521,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1992,102,2.78989,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1992,171,-0.992801,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1992,128,-1.26443,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1992,127,-0.349018,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1993,171,-0.977409,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1993,128,-1.29993,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1993,127,-0.107257,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1993,355,0.255528897,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1993,102,2.81838,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1994,355,0.283739828,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1994,102,2.84611,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1994,171,-1.1482,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1994,128,-1.30647,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1994,127,-0.117213,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1995,171,-1.14038,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1995,128,-1.39702,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1995,127,-0.102637,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1995,355,0.318787798,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1995,102,2.9557,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1996,355,0.346515651,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1996,102,3.0429,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1996,171,-1.12575,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1996,128,-1.64855,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1996,127,-0.043484,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1997,171,-1.22766,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1997,128,-1.82698,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1997,127,0.162641,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1997,355,0.368100212,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1997,102,3.11324,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1998,355,0.384284467,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1998,102,3.15529,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1998,171,-1.28203,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1998,128,-1.90622,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1998,127,0.241398,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1999,171,-1.27341,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1999,128,-1.92398,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1999,127,0.247418,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1999,355,0.424336379,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
1999,102,3.18305,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2000,355,0.453967114,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2000,102,3.20379,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2000,171,-1.29477,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2000,128,-1.91644,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2000,127,0.255353,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2001,171,-1.31188,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2001,128,-1.85372,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2001,127,0.180302,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2001,355,0.473822271,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2001,102,3.21325,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2002,355,0.49959448,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2002,102,3.21015,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2002,171,-1.37263,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2002,128,-1.68683,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2002,127,0.014291,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2003,171,-1.39388,China,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2003,128,-1.6735,North Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2003,127,0.270615,South Korea,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2003,355,0.529510736,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2003,102,3.19802,Norway,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
2004,355,0.566891904,World,Original latent human rights protection score,OWID variable358; upload2016-06-21; archive2018-09-13
