year,series,rate,source_period
2004,Drowning,1.1,NSC current rate table 1999-2024
2005,Drowning,1.2,NSC current rate table 1999-2024
2006,Drowning,1.2,NSC current rate table 1999-2024
2007,Drowning,1.1,NSC current rate table 1999-2024
2008,Drowning,1.2,NSC current rate table 1999-2024
2009,Drowning,1.1,NSC current rate table 1999-2024
2010,Drowning,1.2,NSC current rate table 1999-2024
2011,Drowning,1.1,NSC current rate table 1999-2024
2012,Drowning,1.1,NSC current rate table 1999-2024
2013,Drowning,1.1,NSC current rate table 1999-2024
2014,Drowning,1.1,NSC current rate table 1999-2024
1913,Falls,15.5,NSC historical rate table 1903-1998
1914,Falls,15.1,NSC historical rate table 1903-1998
1915,Falls,14.9,NSC historical rate table 1903-1998
1916,Falls,14.9,NSC historical rate table 1903-1998
1917,Falls,14.7,NSC historical rate table 1903-1998
1918,Falls,12.8,NSC historical rate table 1903-1998
1919,Falls,11.4,NSC historical rate table 1903-1998
1920,Falls,11.8,NSC historical rate table 1903-1998
1921,Falls,11.3,NSC historical rate table 1903-1998
1922,Falls,12.0,NSC historical rate table 1903-1998
1923,Falls,12.6,NSC historical rate table 1903-1998
1924,Falls,12.9,NSC historical rate table 1903-1998
1925,Falls,13.4,NSC historical rate table 1903-1998
1926,Falls,13.9,NSC historical rate table 1903-1998
1927,Falls,13.9,NSC historical rate table 1903-1998
1928,Falls,14.1,NSC historical rate table 1903-1998
1929,Falls,14.5,NSC historical rate table 1903-1998
1930,Falls,14.7,NSC historical rate table 1903-1998
1931,Falls,14.6,NSC historical rate table 1903-1998
1932,Falls,14.9,NSC historical rate table 1903-1998
1933,Falls,15.1,NSC historical rate table 1903-1998
1934,Falls,16.4,NSC historical rate table 1903-1998
1935,Falls,16.8,NSC historical rate table 1903-1998
1936,Falls,18.4,NSC historical rate table 1903-1998
1937,Falls,17.5,NSC historical rate table 1903-1998
1938,Falls,17.9,NSC historical rate table 1903-1998
1939,Falls,17.9,NSC historical rate table 1903-1998
1940,Falls,17.7,NSC historical rate table 1903-1998
1941,Falls,17.1,NSC historical rate table 1903-1998
1942,Falls,16.9,NSC historical rate table 1903-1998
1943,Falls,18.4,NSC historical rate table 1903-1998
1944,Falls,17.3,NSC historical rate table 1903-1998
1945,Falls,18.0,NSC historical rate table 1903-1998
1946,Falls,16.5,NSC historical rate table 1903-1998
1947,Falls,17.1,NSC historical rate table 1903-1998
1948,Falls,15.1,NSC historical rate table 1903-1998
1949,Falls,15.0,NSC historical rate table 1903-1998
1950,Falls,13.7,NSC historical rate table 1903-1998
1951,Falls,13.9,NSC historical rate table 1903-1998
1952,Falls,13.5,NSC historical rate table 1903-1998
1953,Falls,13.0,NSC historical rate table 1903-1998
1954,Falls,12.3,NSC historical rate table 1903-1998
1955,Falls,12.3,NSC historical rate table 1903-1998
1956,Falls,12.1,NSC historical rate table 1903-1998
1957,Falls,12.1,NSC historical rate table 1903-1998
1958,Falls,10.5,NSC historical rate table 1903-1998
1959,Falls,10.6,NSC historical rate table 1903-1998
1960,Falls,10.6,NSC historical rate table 1903-1998
1961,Falls,10.2,NSC historical rate table 1903-1998
1962,Falls,10.5,NSC historical rate table 1903-1998
1963,Falls,10.3,NSC historical rate table 1903-1998
1964,Falls,9.9,NSC historical rate table 1903-1998
1965,Falls,10.3,NSC historical rate table 1903-1998
1966,Falls,10.3,NSC historical rate table 1903-1998
1967,Falls,10.2,NSC historical rate table 1903-1998
1968,Falls,9.4,NSC historical rate table 1903-1998
1969,Falls,8.9,NSC historical rate table 1903-1998
1970,Falls,8.3,NSC historical rate table 1903-1998
1971,Falls,8.1,NSC historical rate table 1903-1998
1972,Falls,8.0,NSC historical rate table 1903-1998
1973,Falls,7.8,NSC historical rate table 1903-1998
1974,Falls,7.7,NSC historical rate table 1903-1998
1975,Falls,6.9,NSC historical rate table 1903-1998
1976,Falls,6.5,NSC historical rate table 1903-1998
1977,Falls,6.3,NSC historical rate table 1903-1998
1978,Falls,6.2,NSC historical rate table 1903-1998
1979,Falls,5.9,NSC historical rate table 1903-1998
1980,Falls,5.9,NSC historical rate table 1903-1998
1981,Falls,5.5,NSC historical rate table 1903-1998
1982,Falls,5.2,NSC historical rate table 1903-1998
1983,Falls,5.1,NSC historical rate table 1903-1998
1984,Falls,5.1,NSC historical rate table 1903-1998
1985,Falls,5.0,NSC historical rate table 1903-1998
1986,Falls,4.8,NSC historical rate table 1903-1998
1987,Falls,4.8,NSC historical rate table 1903-1998
1988,Falls,4.9,NSC historical rate table 1903-1998
1989,Falls,4.9,NSC historical rate table 1903-1998
1990,Falls,4.9,NSC historical rate table 1903-1998
1991,Falls,5.0,NSC historical rate table 1903-1998
1992,Falls,5.0,NSC historical rate table 1903-1998
1913,Fire,9.1,NSC historical rate table 1903-1998
1914,Fire,9.1,NSC historical rate table 1903-1998
1915,Fire,8.4,NSC historical rate table 1903-1998
1916,Fire,9.3,NSC historical rate table 1903-1998
1917,Fire,10.5,NSC historical rate table 1903-1998
1918,Fire,9.9,NSC historical rate table 1903-1998
1919,Fire,8.7,NSC historical rate table 1903-1998
1920,Fire,8.7,NSC historical rate table 1903-1998
1921,Fire,6.9,NSC historical rate table 1903-1998
1922,Fire,7.5,NSC historical rate table 1903-1998
1923,Fire,8.1,NSC historical rate table 1903-1998
1924,Fire,8.4,NSC historical rate table 1903-1998
1925,Fire,7.4,NSC historical rate table 1903-1998
1926,Fire,7.5,NSC historical rate table 1903-1998
1927,Fire,6.9,NSC historical rate table 1903-1998
1928,Fire,7.0,NSC historical rate table 1903-1998
1929,Fire,6.7,NSC historical rate table 1903-1998
1930,Fire,6.6,NSC historical rate table 1903-1998
1931,Fire,5.7,NSC historical rate table 1903-1998
1932,Fire,5.7,NSC historical rate table 1903-1998
1933,Fire,5.4,NSC historical rate table 1903-1998
1934,Fire,5.9,NSC historical rate table 1903-1998
1935,Fire,5.7,NSC historical rate table 1903-1998
1936,Fire,6.2,NSC historical rate table 1903-1998
1937,Fire,5.6,NSC historical rate table 1903-1998
1938,Fire,5.0,NSC historical rate table 1903-1998
1939,Fire,5.1,NSC historical rate table 1903-1998
1940,Fire,5.7,NSC historical rate table 1903-1998
1941,Fire,5.2,NSC historical rate table 1903-1998
1942,Fire,5.9,NSC historical rate table 1903-1998
1943,Fire,6.5,NSC historical rate table 1903-1998
1944,Fire,6.3,NSC historical rate table 1903-1998
1945,Fire,6.0,NSC historical rate table 1903-1998
1946,Fire,5.6,NSC historical rate table 1903-1998
1947,Fire,5.6,NSC historical rate table 1903-1998
1948,Fire,4.7,NSC historical rate table 1903-1998
1949,Fire,4.0,NSC historical rate table 1903-1998
1950,Fire,4.2,NSC historical rate table 1903-1998
1951,Fire,4.4,NSC historical rate table 1903-1998
1952,Fire,4.5,NSC historical rate table 1903-1998
1953,Fire,4.2,NSC historical rate table 1903-1998
1954,Fire,3.8,NSC historical rate table 1903-1998
1955,Fire,3.9,NSC historical rate table 1903-1998
1956,Fire,3.8,NSC historical rate table 1903-1998
1957,Fire,3.7,NSC historical rate table 1903-1998
1959,Fire,3.9,NSC historical rate table 1903-1998
1960,Fire,4.3,NSC historical rate table 1903-1998
1961,Fire,3.9,NSC historical rate table 1903-1998
1962,Fire,4.1,NSC historical rate table 1903-1998
1963,Fire,4.3,NSC historical rate table 1903-1998
1964,Fire,3.9,NSC historical rate table 1903-1998
1965,Fire,3.8,NSC historical rate table 1903-1998
1966,Fire,4.8,NSC historical rate table 1903-1998
1967,Fire,3.8,NSC historical rate table 1903-1998
1969,Fire,3.6,NSC historical rate table 1903-1998
1970,Fire,3.3,NSC historical rate table 1903-1998
1971,Fire,3.3,NSC historical rate table 1903-1998
1972,Fire,3.2,NSC historical rate table 1903-1998
1973,Fire,3.1,NSC historical rate table 1903-1998
1974,Fire,2.9,NSC historical rate table 1903-1998
1975,Fire,2.8,NSC historical rate table 1903-1998
1976,Fire,2.9,NSC historical rate table 1903-1998
1977,Fire,2.9,NSC historical rate table 1903-1998
1978,Fire,2.8,NSC historical rate table 1903-1998
1979,Fire,2.7,NSC historical rate table 1903-1998
1980,Fire,2.6,NSC historical rate table 1903-1998
1981,Fire,2.5,NSC historical rate table 1903-1998
1982,Fire,2.2,NSC historical rate table 1903-1998
1983,Fire,2.2,NSC historical rate table 1903-1998
1984,Fire,2.1,NSC historical rate table 1903-1998
1985,Fire,2.1,NSC historical rate table 1903-1998
1986,Fire,2.0,NSC historical rate table 1903-1998
1987,Fire,1.9,NSC historical rate table 1903-1998
1988,Fire,2.0,NSC historical rate table 1903-1998
1989,Fire,1.9,NSC historical rate table 1903-1998
1990,Fire,1.7,NSC historical rate table 1903-1998
1991,Fire,1.6,NSC historical rate table 1903-1998
1992,Fire,1.6,NSC historical rate table 1903-1998
1993,Fire,1.5,NSC historical rate table 1903-1998
1994,Fire,1.5,NSC historical rate table 1903-1998
1995,Fire,1.4,NSC historical rate table 1903-1998
1996,Fire,1.4,NSC historical rate table 1903-1998
1997,Fire,1.3,NSC historical rate table 1903-1998
1998,Fire,1.2,NSC historical rate table 1903-1998
1999,Fire,1.2,NSC current rate table 1999-2024
2000,Fire,1.2,NSC current rate table 1999-2024
2001,Fire,1.2,NSC current rate table 1999-2024
2002,Fire,1.1,NSC current rate table 1999-2024
2003,Fire,1.2,NSC current rate table 1999-2024
2004,Fire,1.1,NSC current rate table 1999-2024
2005,Fire,1.1,NSC current rate table 1999-2024
2006,Fire,1.0,NSC current rate table 1999-2024
2007,Fire,1.1,NSC current rate table 1999-2024
2008,Fire,1.0,NSC current rate table 1999-2024
2009,Fire,0.9,NSC current rate table 1999-2024
2010,Fire,0.9,NSC current rate table 1999-2024
2011,Fire,0.9,NSC current rate table 1999-2024
2012,Fire,0.8,NSC current rate table 1999-2024
2013,Fire,0.9,NSC current rate table 1999-2024
2014,Fire,0.8,NSC current rate table 1999-2024
1923,Poison (gas or vapor),2.4,NSC historical rate table 1903-1998
1924,Poison (gas or vapor),2.5,NSC historical rate table 1903-1998
1925,Poison (gas or vapor),2.4,NSC historical rate table 1903-1998
1926,Poison (gas or vapor),2.7,NSC historical rate table 1903-1998
1927,Poison (gas or vapor),2.3,NSC historical rate table 1903-1998
1928,Poison (gas or vapor),2.3,NSC historical rate table 1903-1998
1929,Poison (gas or vapor),2.3,NSC historical rate table 1903-1998
1930,Poison (gas or vapor),2.0,NSC historical rate table 1903-1998
1931,Poison (gas or vapor),1.7,NSC historical rate table 1903-1998
1932,Poison (gas or vapor),1.7,NSC historical rate table 1903-1998
1933,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1934,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1935,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1936,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1937,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1938,Poison (gas or vapor),1.1,NSC historical rate table 1903-1998
1939,Poison (gas or vapor),1.1,NSC historical rate table 1903-1998
1940,Poison (gas or vapor),1.2,NSC historical rate table 1903-1998
1941,Poison (gas or vapor),1.1,NSC historical rate table 1903-1998
1942,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1943,Poison (gas or vapor),1.5,NSC historical rate table 1903-1998
1944,Poison (gas or vapor),1.4,NSC historical rate table 1903-1998
1945,Poison (gas or vapor),1.6,NSC historical rate table 1903-1998
1946,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1947,Poison (gas or vapor),1.3,NSC historical rate table 1903-1998
1948,Poison (gas or vapor),1.4,NSC historical rate table 1903-1998
1949,Poison (gas or vapor),1.1,NSC historical rate table 1903-1998
1950,Poison (gas or vapor),1.2,NSC historical rate table 1903-1998
1951,Poison (gas or vapor),1.1,NSC historical rate table 1903-1998
1952,Poison (gas or vapor),0.9,NSC historical rate table 1903-1998
1953,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1954,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1955,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1956,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1957,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1958,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1959,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1960,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1961,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1962,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1963,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1964,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1965,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1966,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1967,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1968,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1969,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1970,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1971,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1972,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1973,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1974,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1975,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1976,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1977,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1978,Poison (gas or vapor),0.8,NSC historical rate table 1903-1998
1979,Poison (gas or vapor),0.7,NSC historical rate table 1903-1998
1980,Poison (gas or vapor),0.5,NSC historical rate table 1903-1998
1981,Poison (gas or vapor),0.6,NSC historical rate table 1903-1998
1982,Poison (gas or vapor),0.5,NSC historical rate table 1903-1998
1983,Poison (gas or vapor),0.5,NSC historical rate table 1903-1998
1984,Poison (gas or vapor),0.5,NSC historical rate table 1903-1998
1985,Poison (gas or vapor),0.5,NSC historical rate table 1903-1998
1986,Poison (gas or vapor),0.4,NSC historical rate table 1903-1998
1987,Poison (gas or vapor),0.4,NSC historical rate table 1903-1998
1988,Poison (gas or vapor),0.4,NSC historical rate table 1903-1998
1989,Poison (gas or vapor),0.4,NSC historical rate table 1903-1998
1990,Poison (gas or vapor),0.3,NSC historical rate table 1903-1998
1991,Poison (gas or vapor),0.3,NSC historical rate table 1903-1998
1992,Poison (gas or vapor),0.2,NSC historical rate table 1903-1998
1993,Poison (gas or vapor),0.3,NSC historical rate table 1903-1998
1994,Poison (gas or vapor),0.3,NSC historical rate table 1903-1998
1995,Poison (gas or vapor),0.2,NSC historical rate table 1903-1998
1996,Poison (gas or vapor),0.2,NSC historical rate table 1903-1998
1997,Poison (gas or vapor),0.2,NSC historical rate table 1903-1998
1998,Poison (gas or vapor),0.2,NSC historical rate table 1903-1998
1913,Poison (solid or liquid),3.3,NSC historical rate table 1903-1998
1914,Poison (solid or liquid),3.3,NSC historical rate table 1903-1998
1915,Poison (solid or liquid),2.8,NSC historical rate table 1903-1998
1916,Poison (solid or liquid),2.8,NSC historical rate table 1903-1998
1917,Poison (solid or liquid),2.7,NSC historical rate table 1903-1998
1918,Poison (solid or liquid),2.6,NSC historical rate table 1903-1998
1919,Poison (solid or liquid),3.0,NSC historical rate table 1903-1998
1920,Poison (solid or liquid),3.1,NSC historical rate table 1903-1998
1921,Poison (solid or liquid),2.7,NSC historical rate table 1903-1998
1922,Poison (solid or liquid),2.5,NSC historical rate table 1903-1998
1923,Poison (solid or liquid),2.5,NSC historical rate table 1903-1998
1924,Poison (solid or liquid),2.4,NSC historical rate table 1903-1998
1925,Poison (solid or liquid),2.3,NSC historical rate table 1903-1998
1926,Poison (solid or liquid),2.2,NSC historical rate table 1903-1998
1927,Poison (solid or liquid),2.2,NSC historical rate table 1903-1998
1928,Poison (solid or liquid),2.3,NSC historical rate table 1903-1998
1929,Poison (solid or liquid),2.1,NSC historical rate table 1903-1998
1930,Poison (solid or liquid),2.1,NSC historical rate table 1903-1998
1931,Poison (solid or liquid),2.1,NSC historical rate table 1903-1998
1932,Poison (solid or liquid),1.8,NSC historical rate table 1903-1998
1933,Poison (solid or liquid),1.7,NSC historical rate table 1903-1998
1934,Poison (solid or liquid),1.7,NSC historical rate table 1903-1998
1935,Poison (solid or liquid),1.7,NSC historical rate table 1903-1998
1936,Poison (solid or liquid),1.7,NSC historical rate table 1903-1998
1937,Poison (solid or liquid),1.7,NSC historical rate table 1903-1998
1938,Poison (solid or liquid),1.6,NSC historical rate table 1903-1998
1939,Poison (solid or liquid),1.5,NSC historical rate table 1903-1998
1940,Poison (solid or liquid),1.4,NSC historical rate table 1903-1998
1941,Poison (solid or liquid),1.3,NSC historical rate table 1903-1998
1942,Poison (solid or liquid),1.2,NSC historical rate table 1903-1998
1943,Poison (solid or liquid),1.3,NSC historical rate table 1903-1998
1944,Poison (solid or liquid),1.5,NSC historical rate table 1903-1998
1945,Poison (solid or liquid),1.5,NSC historical rate table 1903-1998
1946,Poison (solid or liquid),1.4,NSC historical rate table 1903-1998
1947,Poison (solid or liquid),1.3,NSC historical rate table 1903-1998
1948,Poison (solid or liquid),1.1,NSC historical rate table 1903-1998
1949,Poison (solid or liquid),1.1,NSC historical rate table 1903-1998
1950,Poison (solid or liquid),1.1,NSC historical rate table 1903-1998
1951,Poison (solid or liquid),1.0,NSC historical rate table 1903-1998
1952,Poison (solid or liquid),0.9,NSC historical rate table 1903-1998
1953,Poison (solid or liquid),0.9,NSC historical rate table 1903-1998
1954,Poison (solid or liquid),0.8,NSC historical rate table 1903-1998
1955,Poison (solid or liquid),0.9,NSC historical rate table 1903-1998
1956,Poison (solid or liquid),0.8,NSC historical rate table 1903-1998
1957,Poison (solid or liquid),0.8,NSC historical rate table 1903-1998
1958,Poison (solid or liquid),0.8,NSC historical rate table 1903-1998
1959,Poison (solid or liquid),0.9,NSC historical rate table 1903-1998
1960,Poison (solid or liquid),0.9,NSC historical rate table 1903-1998
1961,Poison (solid or liquid),1.0,NSC historical rate table 1903-1998
1962,Poison (solid or liquid),1.0,NSC historical rate table 1903-1998
1963,Poison (solid or liquid),1.1,NSC historical rate table 1903-1998
1964,Poison (solid or liquid),1.1,NSC historical rate table 1903-1998
1965,Poison (solid or liquid),1.1,NSC historical rate table 1903-1998
1966,Poison (solid or liquid),1.2,NSC historical rate table 1903-1998
1967,Poison (solid or liquid),1.3,NSC historical rate table 1903-1998
1968,Poison (solid or liquid),1.3,NSC historical rate table 1903-1998
1969,Poison (solid or liquid),1.5,NSC historical rate table 1903-1998
1970,Poison (solid or liquid),1.8,NSC historical rate table 1903-1998
1971,Poison (solid or liquid),1.8,NSC historical rate table 1903-1998
1972,Poison (solid or liquid),1.8,NSC historical rate table 1903-1998
1973,Poison (solid or liquid),1.7,NSC historical rate table 1903-1998
1974,Poison (solid or liquid),1.8,NSC historical rate table 1903-1998
1975,Poison (solid or liquid),2.2,NSC historical rate table 1903-1998
1976,Poison (solid or liquid),1.9,NSC historical rate table 1903-1998
1977,Poison (solid or liquid),1.5,NSC historical rate table 1903-1998
1978,Poison (solid or liquid),1.4,NSC historical rate table 1903-1998
1979,Poison (solid or liquid),1.4,NSC historical rate table 1903-1998
1980,Poison (solid or liquid),1.4,NSC historical rate table 1903-1998
1981,Poison (solid or liquid),1.4,NSC historical rate table 1903-1998
1982,Poison (solid or liquid),1.5,NSC historical rate table 1903-1998
1983,Poison (solid or liquid),1.4,NSC historical rate table 1903-1998
1984,Poison (solid or liquid),1.6,NSC historical rate table 1903-1998
1985,Poison (solid or liquid),1.7,NSC historical rate table 1903-1998
1986,Poison (solid or liquid),2.0,NSC historical rate table 1903-1998
1987,Poison (solid or liquid),1.8,NSC historical rate table 1903-1998
1988,Poison (solid or liquid),2.2,NSC historical rate table 1903-1998
1989,Poison (solid or liquid),2.3,NSC historical rate table 1903-1998
1990,Poison (solid or liquid),2.0,NSC historical rate table 1903-1998
1991,Poison (solid or liquid),2.3,NSC historical rate table 1903-1998
1992,Poison (solid or liquid),2.5,NSC historical rate table 1903-1998
1993,Poison (solid or liquid),3.1,NSC historical rate table 1903-1998
1994,Poison (solid or liquid),3.2,NSC historical rate table 1903-1998
1995,Poison (solid or liquid),3.2,NSC historical rate table 1903-1998
1996,Poison (solid or liquid),3.3,NSC historical rate table 1903-1998
1997,Poison (solid or liquid),3.6,NSC historical rate table 1903-1998
1998,Poison (solid or liquid),3.8,NSC historical rate table 1903-1998
1999,Poison (solid or liquid),4.5,NSC current rate table 1999-2024
2000,Poison (solid or liquid),4.6,NSC current rate table 1999-2024
2001,Poison (solid or liquid),4.9,NSC current rate table 1999-2024
2002,Poison (solid or liquid),6.4,NSC current rate table 1999-2024
2003,Poison (solid or liquid),6.7,NSC current rate table 1999-2024
2004,Poison (solid or liquid),7.1,NSC current rate table 1999-2024
2005,Poison (solid or liquid),8.0,NSC current rate table 1999-2024
2006,Poison (solid or liquid),9.2,NSC current rate table 1999-2024
2007,Poison (solid or liquid),9.9,NSC current rate table 1999-2024
2008,Poison (solid or liquid),10.2,NSC current rate table 1999-2024
2009,Poison (solid or liquid),10.3,NSC current rate table 1999-2024
2010,Poison (solid or liquid),10.7,NSC current rate table 1999-2024
2011,Poison (solid or liquid),11.6,NSC current rate table 1999-2024
2012,Poison (solid or liquid),11.6,NSC current rate table 1999-2024
2013,Poison (solid or liquid),12.3,NSC current rate table 1999-2024
2014,Poison (solid or liquid),13.2,NSC current rate table 1999-2024
