year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows
1842,-5.0576923076923075,-5.0576923076923075,52,52,52
1843,-5.0576923076923075,-5.0576923076923075,52,52,52
1844,-5.037735849056604,-5.037735849056604,53,53,53
1845,-5.056603773584905,-5.056603773584905,53,53,53
1846,-5.038461538461538,-5.038461538461538,52,52,53
1847,-4.867924528301887,-4.867924528301887,53,53,54
1848,-3.981132075471698,-4.074074074074074,53,54,55
1849,-3.8703703703703702,-3.963636363636364,54,55,55
1850,-3.9454545454545453,-3.9454545454545453,55,55,55
1851,-4.037037037037037,-3.981818181818182,54,55,55
1852,-4.226415094339623,-4.222222222222222,53,54,55
1853,-3.9814814814814814,-3.9814814814814814,54,54,55
1854,-3.8392857142857144,-3.8392857142857144,56,56,56
1855,-3.75,-3.75,56,56,57
1856,-3.75,-3.75,56,56,57
1857,-3.508771929824561,-3.508771929824561,57,57,58
1858,-3.526315789473684,-3.6206896551724137,57,58,58
1859,-3.4655172413793105,-3.542372881355932,58,59,59
1860,-3.3518518518518516,-3.4482758620689653,54,58,59
1861,-2.7884615384615383,-2.8727272727272726,52,55,56
1862,-2.7450980392156863,-2.7454545454545456,51,55,55
1863,-2.803921568627451,-2.6666666666666665,51,54,55
1864,-2.792452830188679,-2.7454545454545456,53,55,55
1865,-2.7962962962962963,-2.7818181818181817,54,55,55
1866,-2.9444444444444446,-2.909090909090909,54,55,55
1867,-2.5357142857142856,-2.5517241379310347,56,58,58
1868,-2.4545454545454546,-2.5517241379310347,55,58,58
1869,-2.327272727272727,-2.4310344827586206,55,58,58
1870,-2.309090909090909,-2.3275862068965516,55,58,58
1871,-2.0185185185185186,-2.0701754385964914,54,57,57
1872,-1.68,-1.679245283018868,50,53,53
1873,-1.75,-1.679245283018868,52,53,53
1874,-1.6274509803921569,-1.5849056603773586,51,53,53
1875,-1.607843137254902,-1.490566037735849,51,53,53
1876,-1.6862745098039216,-1.6226415094339623,51,53,53
1877,-1.5576923076923077,-1.6603773584905661,52,53,53
1878,-1.5576923076923077,-1.679245283018868,52,53,53
1879,-1.4150943396226414,-1.5555555555555556,53,54,54
1880,-1.0925925925925926,-1.0925925925925926,54,54,54
1881,-1.0754716981132075,-1.0754716981132075,53,53,54
1882,-1.0754716981132075,-1.0754716981132075,53,53,54
1883,-1.0,-1.0,54,54,54
1884,-1.0925925925925926,-1.0925925925925926,54,54,54
1885,-1.0925925925925926,-1.0925925925925926,54,54,54
1886,-1.2777777777777777,-1.2777777777777777,54,54,54
1887,-1.2777777777777777,-1.2777777777777777,54,54,54
1888,-1.1481481481481481,-1.1481481481481481,54,54,54
1889,-1.0740740740740742,-1.0740740740740742,54,54,54
1890,-0.8148148148148148,-0.8148148148148148,54,54,54
1891,-0.8518518518518519,-0.8518518518518519,54,54,54
1892,-0.8333333333333334,-0.8333333333333334,54,54,54
1893,-0.8148148148148148,-0.8148148148148148,54,54,54
1894,-0.7407407407407407,-0.7407407407407407,54,54,54
1895,-0.7592592592592593,-0.7592592592592593,54,54,54
1896,-0.8518518518518519,-0.8518518518518519,54,54,54
1897,-0.8518518518518519,-0.8518518518518519,54,54,54
1898,-0.5185185185185185,-0.5185185185185185,54,54,54
1899,-0.5185185185185185,-0.5185185185185185,54,54,54
1900,-0.5370370370370371,-0.5370370370370371,54,54,54
1901,-0.3148148148148148,-0.34545454545454546,54,55,55
1902,-0.2545454545454545,-0.26785714285714285,55,56,56
1903,-0.3090909090909091,-0.30357142857142855,55,56,56
1904,-0.41818181818181815,-0.39285714285714285,55,56,56
1905,-0.24074074074074073,-0.3392857142857143,54,56,56
1906,-0.12962962962962962,-0.07142857142857142,54,56,56
1907,-0.39622641509433965,-0.375,53,56,57
1908,0.018518518518518517,0.05263157894736842,54,57,57
1909,0.037037037037037035,0.10526315789473684,54,57,57
1910,0.14814814814814814,0.3275862068965517,54,58,58
1911,0.5576923076923077,0.6140350877192983,52,57,57
1912,0.5192307692307693,0.6785714285714286,52,56,57
1913,0.92,1.0363636363636364,50,55,56
1914,0.5098039215686274,0.7454545454545455,51,55,57
1915,0.7,0.7962962962962963,50,54,57
1916,0.7916666666666666,0.9038461538461539,48,52,57
1917,1.4339622641509433,1.4285714285714286,53,56,59
1918,1.830188679245283,1.694915254237288,53,59,63
1919,1.8518518518518519,1.7966101694915255,54,59,63
1920,2.0,2.0161290322580645,59,62,64
1921,2.262295081967213,2.1746031746031744,61,63,65
