year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows
2000,3.0064516129032257,2.9565217391304346,155,161,163
2001,3.238709677419355,3.15,155,160,163
2002,3.3333333333333335,3.2422360248447206,156,161,164
2003,3.344155844155844,3.270440251572327,154,159,164
2004,3.4675324675324677,3.40625,154,160,164
2005,3.7051282051282053,3.6645962732919255,156,161,164
2006,3.7950310559006213,3.7484662576687118,161,163,166
2007,3.76875,3.7222222222222223,160,162,165
2008,3.869565217391304,3.8220858895705523,161,163,166
2009,3.857142857142857,3.8098159509202456,161,163,166
2010,3.93125,3.8597560975609757,160,164,166
2011,4.080246913580247,4.03030303030303,162,165,168
2012,4.125,4.012121212121212,160,165,167
2013,4.26875,4.175757575757576,160,165,167
2014,4.236024844720497,4.108433734939759,161,166,167
2015,4.35,4.204819277108434,160,166,167
2016,4.228395061728395,4.156626506024097,162,166,167
2017,4.214723926380368,4.13855421686747,163,166,167
2018,4.196319018404908,4.108433734939759,163,166,167
2019,7.0,7.0,1,1,1
2020,5.0,5.0,1,1,1
