year,value_2017_capture,generated,value_2016_capture,capture_difference
1843,-4.146341463414634,False,-4.146341463414634,0.0
1844,-4.142857142857143,False,-4.142857142857143,0.0
1845,-4.142857142857143,False,-4.142857142857143,0.0
1846,-4.071428571428571,True,-4.071428571428571,0.0
1847,-3.883720930232558,True,-3.883720930232558,0.0
1848,-3.1818181818181817,False,-3.1818181818181817,0.0
1849,-2.909090909090909,False,-2.909090909090909,0.0
1850,-2.8863636363636362,False,-2.8863636363636362,0.0
1851,-2.9318181818181817,False,-2.9318181818181817,0.0
1852,-3.1363636363636362,True,-3.1363636363636362,0.0
1853,-2.840909090909091,True,-2.840909090909091,0.0
1854,-2.909090909090909,False,-2.909090909090909,0.0
1855,-2.7555555555555555,True,-2.7555555555555555,0.0
1856,-2.7555555555555555,True,-2.7555555555555555,0.0
1857,-2.4782608695652173,True,-2.4782608695652173,0.0
1858,-2.6956521739130435,False,-2.6956521739130435,0.0
1859,-2.6382978723404253,False,-2.6382978723404253,0.0
1860,-2.574468085106383,True,-2.574468085106383,0.0
1861,-2.4791666666666665,True,-2.4791666666666665,0.0
1862,-2.3541666666666665,False,-2.3541666666666665,0.0
1863,-2.2708333333333335,True,-2.2708333333333335,0.0
1864,-2.3541666666666665,False,-2.3541666666666665,0.0
1865,-2.3958333333333335,False,-2.3958333333333335,0.0
1866,-2.5416666666666665,False,-2.5416666666666665,0.0
1867,-2.176470588235294,False,-2.176470588235294,0.0
1868,-2.25,False,-2.25,0.0
1869,-2.1153846153846154,False,-2.1153846153846154,0.0
1870,-2.0,False,-2.0,0.0
1871,-1.7058823529411764,False,-1.7058823529411764,0.0
1872,-1.6274509803921569,False,-1.6274509803921569,0.0
1873,-1.6274509803921569,False,-1.6274509803921569,0.0
1874,-1.5294117647058822,False,-1.5294117647058822,0.0
1875,-1.4313725490196079,False,-1.4313725490196079,0.0
1876,-1.5686274509803921,False,-1.5686274509803921,0.0
1877,-1.607843137254902,False,-1.607843137254902,0.0
1878,-1.6274509803921569,False,-1.6274509803921569,0.0
1879,-1.5,False,-1.5,0.0
1880,-1.0192307692307692,False,-1.0192307692307692,0.0
1881,-1.0384615384615385,True,-1.0384615384615385,0.0
1882,-1.0384615384615385,True,-1.0384615384615385,0.0
1883,-0.9230769230769231,False,-0.9230769230769231,0.0
1884,-1.0192307692307692,False,-1.0192307692307692,0.0
1885,-1.0192307692307692,False,-1.0192307692307692,0.0
1886,-1.2115384615384615,False,-1.2115384615384615,0.0
1887,-1.2115384615384615,False,-1.2115384615384615,0.0
1888,-1.0769230769230769,False,-1.0769230769230769,0.0
1889,-1.0,False,-1.0,0.0
1890,-0.7307692307692307,False,-0.7307692307692307,0.0
1891,-0.7692307692307693,False,-0.7692307692307693,0.0
1892,-0.75,False,-0.75,0.0
1893,-0.7307692307692307,False,-0.7307692307692307,0.0
1894,-0.6538461538461539,False,-0.6538461538461539,0.0
1895,-0.6730769230769231,False,-0.6730769230769231,0.0
1896,-0.7692307692307693,False,-0.7692307692307693,0.0
1897,-0.7692307692307693,False,-0.7692307692307693,0.0
1898,-0.4230769230769231,False,-0.4230769230769231,0.0
1899,-0.4230769230769231,False,-0.4230769230769231,0.0
1900,-0.4423076923076923,False,-0.4423076923076923,0.0
1901,-0.24528301886792453,False,-0.24528301886792453,0.0
1902,-0.16666666666666666,False,-0.16666666666666666,0.0
1903,-0.12727272727272726,False,-0.12727272727272726,0.0
1904,-0.21818181818181817,False,-0.21818181818181817,0.0
1905,-0.2,False,-0.2,0.0
1906,0.03636363636363636,False,0.03636363636363636,0.0
1907,-0.22321428571428573,True,-0.22321428571428573,0.0
1908,0.16071428571428573,False,0.16071428571428573,0.0
1909,0.21428571428571427,False,0.21428571428571427,0.0
1910,0.43859649122807015,False,0.43859649122807015,0.0
1911,0.7349953831948292,True,0.7349953831948292,0.0
1912,0.8734995383194829,True,0.8734995383194829,0.0
1913,0.854507680684966,True,0.854507680684966,0.0
1914,0.7866276192047518,True,0.7866276192047518,0.0
1915,0.7377907935984162,True,0.7377907935984162,0.0
1916,0.7751608645438047,True,0.7751608645438047,0.0
1917,1.2354465709728866,True,1.2354465709728866,0.0
1918,1.6853912640839637,True,1.6853912640839637,0.0
1919,1.7195439110973916,True,1.7195439110973916,0.0
1920,1.9004632794106477,True,1.9004632794106477,0.0
1921,2.1696606035106263,True,2.1696606035106263,0.0
1922,2.169036471484452,True,2.169036471484452,0.0
1923,1.8140994256661331,True,1.8140994256661331,0.0
1924,1.460381413285193,True,1.460381413285193,0.0
1925,1.2503678613718987,True,1.2503678613718987,0.0
1926,1.039760863731272,True,1.039760863731272,0.0
1927,0.9504828052284673,True,0.9504828052284673,0.0
1928,0.7435576879021333,True,0.7435576879021333,0.0
1929,0.6395737470463873,True,0.6395737470463873,0.0
1930,0.4620603944259355,True,0.4620603944259355,0.0
1931,0.29925292415842497,True,0.29925292415842497,0.0
1932,0.3276219244791496,True,0.3276219244791496,0.0
1933,-0.026362016376596253,True,-0.026362016376596253,0.0
1934,-0.5421106631146951,True,-0.5421106631146951,0.0
1935,-0.5497743923186954,True,-0.5497743923186954,0.0
1936,-1.1594976963504449,True,-1.1594976963504449,0.0
1937,-0.8271920148749481,True,-0.8271920148749481,0.0
1938,-0.7267703913704658,True,-0.7267703913704658,0.0
1939,-0.713305289605114,True,-0.713305289605114,0.0
1940,-1.1636083037817913,True,-1.1636083037817913,0.0
1941,-0.9299812241818268,True,-0.9299812241818268,0.0
1942,-0.9721205139449793,True,-0.9721205139449793,0.0
1943,-0.7595516547007188,True,-0.7595516547007188,0.0
1944,-0.1987208193243545,True,-0.1987208193243545,0.0
1945,-0.10136420576294713,True,-0.10136420576294713,0.0
1946,0.1622800668913952,True,0.1622800668913952,0.0
1947,0.14077076919758963,True,0.14077076919758963,0.0
1948,0.22853011399076942,True,0.22853011399076942,0.0
1949,-0.07165918962236531,True,-0.07165918962236531,0.0
1950,0.19815623935482823,True,0.19815623935482823,0.0
1951,0.11563054662888125,True,0.11563054662888125,0.0
1952,0.15900801735175926,True,0.15900801735175926,0.0
1953,-0.11868018860919971,True,-0.11868018860919971,0.0
1954,-0.22100241370362955,True,-0.22100241370362955,0.0
1955,-0.11993524348009793,True,-0.11993524348009793,0.0
1956,0.1718327371393451,True,0.1718327371393451,0.0
1957,0.4682329150062452,True,0.4682329150062452,0.0
1958,0.20832146082972894,True,0.20832146082972894,0.0
1959,0.37114037626047797,True,0.37114037626047797,0.0
1960,-0.23937646904621862,True,-0.23937646904621862,0.0
1961,-0.37600730451500697,True,-0.37600730451500697,0.0
1962,-0.4901822864812166,True,-0.4901822864812166,0.0
1963,-0.7607274793975561,True,-0.7607274793975561,0.0
1964,-0.8204980439805734,True,-0.8204980439805734,0.0
1965,-0.9022784948155197,True,-0.9022784948155197,0.0
1966,-0.9748583050572074,True,-0.9748583050572074,0.0
1967,-1.2184963983702763,True,-1.2184963983702763,0.0
1968,-1.109861448230567,True,-1.109861448230567,0.0
1969,-1.3476986345599917,True,-1.3476986345599917,0.0
1970,-1.310761823688019,True,-1.310761823688019,0.0
1971,-1.7385114420578165,True,-1.7385114420578165,0.0
1972,-2.1190339726294045,True,-2.1190339726294045,0.0
1973,-2.040504822206482,True,-2.040504822206482,0.0
1974,-1.9096299900408251,True,-1.9096299900408251,0.0
1975,-1.8677333871913948,True,-1.8677333871913948,0.0
1976,-2.1160649497412716,True,-2.1160649497412716,0.0
1977,-2.155200319914555,True,-2.155200319914555,0.0
1978,-1.6867422341699037,True,-1.6867422341699037,0.0
1979,-1.2688649445322058,True,-1.2688649445322058,0.0
1980,-1.491832725317043,True,-1.491832725317043,0.0
1981,-1.5176174075103306,True,-1.5176174075103306,0.0
1982,-1.4307260333655907,True,-1.4307260333655907,0.0
1983,-1.2170740958405684,True,-1.2170740958405684,0.0
1984,-1.2780700456394902,True,-1.2780700456394902,0.0
1985,-1.0221645869877076,True,-1.0221645869877076,0.0
1986,-0.9000619452373334,True,-0.9000619452373334,0.0
1987,-0.8342973316559734,True,-0.8342973316559734,0.0
1988,-0.5713496194830642,True,-0.5713496194830642,0.0
1989,-0.1302328932256479,True,-0.1302328932256479,0.0
1990,0.7274151181790546,True,0.7274151181790546,0.0
1991,1.4213644392110685,True,1.4213644392110685,0.0
1992,2.043513808139535,True,2.043513808139535,0.0
1993,2.308888571836211,True,2.308888571836211,0.0
1994,2.5750642031673565,True,2.5750642031673565,0.0
1995,2.5501363766867646,True,2.5501363766867646,0.0
1996,2.4414118575940282,True,2.4414118575940282,0.0
1997,2.419107091587712,True,2.419107091587712,0.0
1998,2.575814671260408,True,2.575814671260408,0.0
1999,2.794250645994832,True,2.794250645994832,0.0
2000,2.957131065173701,True,2.957131065173701,0.0
2001,3.104138468479554,True,3.104138468479554,0.0
2002,3.2189302529400976,True,3.2189302529400976,0.0
2003,3.213419698565757,True,3.213419698565757,0.0
2004,3.3494879871971475,True,3.3494879871971475,0.0
2005,3.5587270075358557,True,3.5587270075358557,0.0
2006,3.6277056277056277,True,3.6277056277056277,0.0
2007,3.606707317073171,True,3.606707317073171,0.0
2008,3.72987012987013,True,3.72987012987013,0.0
2009,3.7294372294372296,True,3.7294372294372296,0.0
2010,3.801731601731602,True,3.801731601731602,0.0
2011,4.013339070567986,True,4.013339070567986,0.0
2012,4.012987012987013,True,4.012987012987013,0.0
2013,4.185281385281385,True,4.185281385281385,0.0
2014,4.121951219512195,False,4.121951219512195,0.0
2015,4.233128834355829,False,4.233128834355829,0.0
