Entity,Year,prevalence_percent,source_entity,source_value,is_censored_threshold,source_note
Latin America,2000,11.2,Latin America,11.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2001,10.5,Latin America,10.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2002,9.8,Latin America,9.8000000000000007,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2003,9.3,Latin America,9.3000000000000007,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2004,8.6,Latin America,8.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2005,8.0,Latin America,8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2006,7.3,Latin America,7.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2007,6.7,Latin America,6.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2008,6.3,Latin America,6.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2009,5.9,Latin America,5.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2010,5.8,Latin America,5.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2011,5.5,Latin America,5.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2012,5.3,Latin America,5.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2013,5.0,Latin America,5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2014,5.0,Latin America,<5.0,true,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Latin America,2015,5.0,Latin America,<5.0,true,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1991,23.9,Southern Asia,23.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1992,23.0,Southern Asia,23,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1993,23.2,Southern Asia,23.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1994,23.1,Southern Asia,23.1,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1995,22.7,Southern Asia,22.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1996,21.8,Southern Asia,21.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1997,20.7,Southern Asia,20.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1998,19.6,Southern Asia,19.600000000000001,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,1999,18.7,Southern Asia,18.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2000,18.2,Southern Asia,18.2,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2001,18.5,Southern Asia,18.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2002,19.3,Southern Asia,19.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2003,20.3,Southern Asia,20.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2004,20.8,Southern Asia,20.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2005,20.8,Southern Asia,20.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2006,20.1,Southern Asia,20.100000000000001,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2007,18.8,Southern Asia,18.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2008,17.5,Southern Asia,17.5,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2009,16.6,Southern Asia,16.600000000000001,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2010,16.3,Southern Asia,16.3,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2011,16.1,Southern Asia,16.100000000000001,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2012,16.0,Southern Asia,16,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2013,16.0,Southern Asia,16,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2014,15.9,Southern Asia,15.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
South Asia,2015,15.7,Southern Asia,15.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1991,30.6,South-Eastern Asia,30.6,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1992,30.0,South-Eastern Asia,30,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1993,28.9,South-Eastern Asia,28.9,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1994,27.4,South-Eastern Asia,27.4,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1995,25.8,South-Eastern Asia,25.8,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
Southeast Asia,1996,24.7,South-Eastern Asia,24.7,false,"FAO Food Security Indicators archived workbook 2016-03-17, sheet V_2.6"
