year,series,percent_change,source_vintage,period
2001,Aggregate Emissions (Six Common Pollutants),-48.9,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2002,Aggregate Emissions (Six Common Pollutants),-47.6,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2003,Aggregate Emissions (Six Common Pollutants),-49.2,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2004,Aggregate Emissions (Six Common Pollutants),-50.8,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2005,Aggregate Emissions (Six Common Pollutants),-52.1,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2006,Aggregate Emissions (Six Common Pollutants),-54.3,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2007,Aggregate Emissions (Six Common Pollutants),-56.5,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2008,Aggregate Emissions (Six Common Pollutants),-60.2,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2009,Aggregate Emissions (Six Common Pollutants),-62.9,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2010,Aggregate Emissions (Six Common Pollutants),-64.5,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2011,Aggregate Emissions (Six Common Pollutants),-65.6,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2012,Aggregate Emissions (Six Common Pollutants),-66.5,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2013,Aggregate Emissions (Six Common Pollutants),-67.5,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2014,Aggregate Emissions (Six Common Pollutants),-69.5,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
2015,Aggregate Emissions (Six Common Pollutants),-71.4,EPA Our Nation's Air 2016 embedded Highcharts manual data,book_period
