year,series,rate_per_100000,source_file,source_kind,period
2007,"Intimate partner violence, female victims",609.0825638590084,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
2008,Rape and sexual assault,240.06995925966865,bjs_ncvs_select_personal_victimization.csv,BJS NCVS Select API,book
2008,"Intimate partner violence, female victims",707.9130742587063,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
2009,Rape and sexual assault,219.7052930309465,bjs_ncvs_select_personal_victimization.csv,BJS NCVS Select API,book
2009,"Intimate partner violence, female victims",703.1355469620514,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
2010,Rape and sexual assault,193.59087921207214,bjs_ncvs_select_personal_victimization.csv,BJS NCVS Select API,book
2010,"Intimate partner violence, female victims",486.1792404212059,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
2011,Rape and sexual assault,159.28685067349346,bjs_ncvs_select_personal_victimization.csv,BJS NCVS Select API,book
2011,"Intimate partner violence, female victims",459.97763881402943,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
2012,Rape and sexual assault,160.29721109547137,bjs_ncvs_select_personal_victimization.csv,BJS NCVS Select API,book
2012,"Intimate partner violence, female victims",507.4423030609734,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
2013,Rape and sexual assault,196.13256947906748,bjs_ncvs_select_personal_victimization.csv,BJS NCVS Select API,book
2013,"Intimate partner violence, female victims",456.49265941435846,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
2014,Rape and sexual assault,187.39682158482577,bjs_ncvs_select_personal_victimization.csv,BJS NCVS Select API,book
2014,"Intimate partner violence, female victims",366.23475762839985,bjs_ncvs_select_personal_victimization.csv + bjs_person_population.xlsx,BJS NCVS Select API and official population workbook,book
