Entity,Year,under5_mortality_per_1000,under5_mortality_percent
Canada,1908,339.88,33.988
Canada,1909,222.2,22.22
Canada,1910,282.71,28.270999999999997
Canada,1911,300.8,30.080000000000002
Canada,1912,261.86,26.186
Canada,1913,273.18,27.318
Canada,1914,261.86,26.186
Canada,1915,247.91,24.791
Canada,1916,268.45,26.845
Canada,1917,216.59,21.659
Canada,1918,220.33,22.033
Canada,1919,227.77,22.777
Canada,1920,265.2,26.52
Canada,1921,144.42,14.441999999999998
Canada,1922,143.88,14.388
Canada,1923,141.13,14.113
Canada,1924,127.12,12.712
Canada,1925,122.39,12.239
Canada,1926,132.61,13.261000000000001
Canada,1927,124.86,12.486
Canada,1928,120.68,12.068000000000001
Canada,1929,127.49,12.748999999999999
Canada,1930,124.71,12.471
Canada,1931,115.57,11.556999999999999
Canada,1932,98.78,9.878
Canada,1933,92.92,9.292
Canada,1934,91.88,9.187999999999999
Canada,1935,91.52,9.152
Canada,1936,86.19,8.619
Canada,1937,103.3,10.33
Canada,1938,86.44,8.644
Canada,1939,80.76,8.076
Canada,1940,77.79,7.779000000000001
Canada,1941,80.64,8.064
Canada,1942,73.13,7.313
Canada,1943,70.17,7.017
Canada,1944,68.69,6.869
Canada,1945,61.31,6.131
Canada,1946,61.25,6.125
Canada,1947,59.89,5.989
Canada,1948,53.92,5.392
Canada,1949,51.97,5.197
Canada,1950,48.7,4.87
Canada,1951,46.2,4.62
Canada,1952,43.9,4.39
Canada,1953,41.7,4.17
Canada,1954,39.9,3.9899999999999998
Canada,1955,38.3,3.8299999999999996
Canada,1956,37.0,3.7
Canada,1957,35.8,3.5799999999999996
Canada,1958,34.7,3.47
Canada,1959,33.7,3.37
Canada,1960,32.6,3.2600000000000002
Canada,1961,31.6,3.16
Canada,1962,30.5,3.05
Canada,1963,29.4,2.94
Canada,1964,28.2,2.82
Canada,1965,27.1,2.71
Canada,1966,26.0,2.6
Canada,1967,25.0,2.5
Canada,1968,24.0,2.4
Canada,1969,23.0,2.3
