year,deaths,population_thousands,rate,country,definition,source_url
1954,1115.0,4970.3,22.43325352594411,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1955,1074.0,5033.7,21.33619405208892,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1956,1086.0,5097.4,21.3049790089065,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1957,1071.0,5162.8,20.744557217014023,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1958,1093.0,5230.0,20.898661567877628,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1959,1018.0,5295.5,19.223869323010103,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1960,1016.0,5360.153,18.954682823419404,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1961,1001.0,5508.435,18.172130559768792,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1962,1047.0,5639.195,18.566479790111888,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1963,970.0,5749.299,16.87162208818849,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1964,983.0,5829.156,16.86350476810022,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1965,1077.0,5883.788,18.304534425781487,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1966,1088.0,5952.216,18.278906545058177,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1967,1052.0,6031.353,17.442189173805613,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1968,1047.0,6104.074,17.152478819883246,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1969,1067.0,6168.7,17.29699936777603,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1970,1150.0,6193.064,18.56916059643498,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1971,1160.0,6233.744,18.608399703292275,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1972,1226.0,6288.168,19.496934560272564,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1973,1191.0,6326.525,18.825500571008572,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1974,1309.0,6356.285,20.59379024068304,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1975,1429.0,6320.978,22.607261091558932,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1976,1397.0,6284.029,22.230960423639036,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1977,1505.0,6278.319,23.971384697082133,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1978,1515.0,6285.156,24.1044136374658,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1979,1560.0,6303.573,24.747869184667174,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1980,1621.0,6335.243,25.587021681725545,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1981,1512.0,6372.904,23.725447613835076,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1982,1574.0,6409.713,24.55648170206685,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
1983,1621.0,6427.833,25.218452315111485,Switzerland,crude; annual deaths / year-end permanent residents,https://hsso.ch/get/D.50a.xlsx; https://hsso.ch/get/B.42.xlsx
