date,value,term,geo,source_query
2014-07-01,16,nigger jokes,US,Google Trends exact search term
2014-08-01,13,nigger jokes,US,Google Trends exact search term
2014-09-01,12,nigger jokes,US,Google Trends exact search term
2014-10-01,12,nigger jokes,US,Google Trends exact search term
2014-11-01,16,nigger jokes,US,Google Trends exact search term
2014-12-01,15,nigger jokes,US,Google Trends exact search term
2015-01-01,13,nigger jokes,US,Google Trends exact search term
2015-02-01,12,nigger jokes,US,Google Trends exact search term
2015-03-01,12,nigger jokes,US,Google Trends exact search term
2015-04-01,12,nigger jokes,US,Google Trends exact search term
2015-05-01,13,nigger jokes,US,Google Trends exact search term
2015-06-01,12,nigger jokes,US,Google Trends exact search term
2015-07-01,12,nigger jokes,US,Google Trends exact search term
2015-08-01,12,nigger jokes,US,Google Trends exact search term
2015-09-01,10,nigger jokes,US,Google Trends exact search term
2015-10-01,11,nigger jokes,US,Google Trends exact search term
2015-11-01,11,nigger jokes,US,Google Trends exact search term
2015-12-01,11,nigger jokes,US,Google Trends exact search term
2016-01-01,10,nigger jokes,US,Google Trends exact search term
2016-02-01,10,nigger jokes,US,Google Trends exact search term
2016-03-01,10,nigger jokes,US,Google Trends exact search term
2016-04-01,10,nigger jokes,US,Google Trends exact search term
2016-05-01,11,nigger jokes,US,Google Trends exact search term
2016-06-01,10,nigger jokes,US,Google Trends exact search term
2016-07-01,9,nigger jokes,US,Google Trends exact search term
2016-08-01,8,nigger jokes,US,Google Trends exact search term
2016-09-01,8,nigger jokes,US,Google Trends exact search term
2016-10-01,9,nigger jokes,US,Google Trends exact search term
2016-11-01,9,nigger jokes,US,Google Trends exact search term
2016-12-01,9,nigger jokes,US,Google Trends exact search term
2017-01-01,9,nigger jokes,US,Google Trends exact search term
2017-02-01,9,nigger jokes,US,Google Trends exact search term
2017-03-01,9,nigger jokes,US,Google Trends exact search term
2017-04-01,9,nigger jokes,US,Google Trends exact search term
2017-05-01,9,nigger jokes,US,Google Trends exact search term
2017-06-01,8,nigger jokes,US,Google Trends exact search term
2017-07-01,9,nigger jokes,US,Google Trends exact search term
2017-08-01,8,nigger jokes,US,Google Trends exact search term
2017-09-01,8,nigger jokes,US,Google Trends exact search term
2017-10-01,8,nigger jokes,US,Google Trends exact search term
2017-11-01,8,nigger jokes,US,Google Trends exact search term
2017-12-01,9,nigger jokes,US,Google Trends exact search term
2018-01-01,7,nigger jokes,US,Google Trends exact search term
2018-02-01,7,nigger jokes,US,Google Trends exact search term
2018-03-01,7,nigger jokes,US,Google Trends exact search term
2018-04-01,7,nigger jokes,US,Google Trends exact search term
2018-05-01,7,nigger jokes,US,Google Trends exact search term
2018-06-01,7,nigger jokes,US,Google Trends exact search term
2018-07-01,7,nigger jokes,US,Google Trends exact search term
2018-08-01,6,nigger jokes,US,Google Trends exact search term
2018-09-01,5,nigger jokes,US,Google Trends exact search term
2018-10-01,6,nigger jokes,US,Google Trends exact search term
2018-11-01,6,nigger jokes,US,Google Trends exact search term
2018-12-01,5,nigger jokes,US,Google Trends exact search term
2019-01-01,5,nigger jokes,US,Google Trends exact search term
2019-02-01,5,nigger jokes,US,Google Trends exact search term
2019-03-01,5,nigger jokes,US,Google Trends exact search term
2019-04-01,5,nigger jokes,US,Google Trends exact search term
2019-05-01,4,nigger jokes,US,Google Trends exact search term
2019-06-01,5,nigger jokes,US,Google Trends exact search term
2019-07-01,4,nigger jokes,US,Google Trends exact search term
2019-08-01,4,nigger jokes,US,Google Trends exact search term
2019-09-01,4,nigger jokes,US,Google Trends exact search term
2019-10-01,4,nigger jokes,US,Google Trends exact search term
2019-11-01,4,nigger jokes,US,Google Trends exact search term
2019-12-01,4,nigger jokes,US,Google Trends exact search term
2020-01-01,4,nigger jokes,US,Google Trends exact search term
2020-02-01,4,nigger jokes,US,Google Trends exact search term
2020-03-01,4,nigger jokes,US,Google Trends exact search term
2020-04-01,3,nigger jokes,US,Google Trends exact search term
2020-05-01,3,nigger jokes,US,Google Trends exact search term
2020-06-01,4,nigger jokes,US,Google Trends exact search term
2020-07-01,3,nigger jokes,US,Google Trends exact search term
2020-08-01,3,nigger jokes,US,Google Trends exact search term
2020-09-01,3,nigger jokes,US,Google Trends exact search term
2020-10-01,2,nigger jokes,US,Google Trends exact search term
2020-11-01,3,nigger jokes,US,Google Trends exact search term
2020-12-01,3,nigger jokes,US,Google Trends exact search term
2021-01-01,2,nigger jokes,US,Google Trends exact search term
2021-02-01,3,nigger jokes,US,Google Trends exact search term
2021-03-01,2,nigger jokes,US,Google Trends exact search term
2021-04-01,2,nigger jokes,US,Google Trends exact search term
2021-05-01,3,nigger jokes,US,Google Trends exact search term
2021-06-01,2,nigger jokes,US,Google Trends exact search term
2021-07-01,2,nigger jokes,US,Google Trends exact search term
2021-08-01,2,nigger jokes,US,Google Trends exact search term
2021-09-01,2,nigger jokes,US,Google Trends exact search term
2021-10-01,2,nigger jokes,US,Google Trends exact search term
2021-11-01,2,nigger jokes,US,Google Trends exact search term
2021-12-01,2,nigger jokes,US,Google Trends exact search term
2022-01-01,2,nigger jokes,US,Google Trends exact search term
2022-02-01,1,nigger jokes,US,Google Trends exact search term
2022-03-01,1,nigger jokes,US,Google Trends exact search term
2022-04-01,2,nigger jokes,US,Google Trends exact search term
2022-05-01,1,nigger jokes,US,Google Trends exact search term
2022-06-01,1,nigger jokes,US,Google Trends exact search term
2022-07-01,1,nigger jokes,US,Google Trends exact search term
2022-08-01,1,nigger jokes,US,Google Trends exact search term
2022-09-01,1,nigger jokes,US,Google Trends exact search term
2022-10-01,1,nigger jokes,US,Google Trends exact search term
2022-11-01,1,nigger jokes,US,Google Trends exact search term
2022-12-01,1,nigger jokes,US,Google Trends exact search term
2023-01-01,1,nigger jokes,US,Google Trends exact search term
2023-02-01,1,nigger jokes,US,Google Trends exact search term
2023-03-01,1,nigger jokes,US,Google Trends exact search term
2023-04-01,1,nigger jokes,US,Google Trends exact search term
2023-05-01,1,nigger jokes,US,Google Trends exact search term
2023-06-01,2,nigger jokes,US,Google Trends exact search term
2023-07-01,1,nigger jokes,US,Google Trends exact search term
2023-08-01,1,nigger jokes,US,Google Trends exact search term
2023-09-01,1,nigger jokes,US,Google Trends exact search term
2023-10-01,1,nigger jokes,US,Google Trends exact search term
2023-11-01,1,nigger jokes,US,Google Trends exact search term
2023-12-01,1,nigger jokes,US,Google Trends exact search term
2024-01-01,1,nigger jokes,US,Google Trends exact search term
2024-02-01,1,nigger jokes,US,Google Trends exact search term
2024-03-01,1,nigger jokes,US,Google Trends exact search term
2024-04-01,1,nigger jokes,US,Google Trends exact search term
2024-05-01,1,nigger jokes,US,Google Trends exact search term
2024-06-01,1,nigger jokes,US,Google Trends exact search term
2024-07-01,1,nigger jokes,US,Google Trends exact search term
2024-08-01,1,nigger jokes,US,Google Trends exact search term
2024-09-01,1,nigger jokes,US,Google Trends exact search term
2024-10-01,1,nigger jokes,US,Google Trends exact search term
2024-11-01,1,nigger jokes,US,Google Trends exact search term
2024-12-01,1,nigger jokes,US,Google Trends exact search term
2025-01-01,1,nigger jokes,US,Google Trends exact search term
2025-02-01,1,nigger jokes,US,Google Trends exact search term
2025-03-01,1,nigger jokes,US,Google Trends exact search term
2025-04-01,1,nigger jokes,US,Google Trends exact search term
2025-05-01,1,nigger jokes,US,Google Trends exact search term
2025-06-01,1,nigger jokes,US,Google Trends exact search term
2025-07-01,1,nigger jokes,US,Google Trends exact search term
2025-08-01,1,nigger jokes,US,Google Trends exact search term
2025-09-01,1,nigger jokes,US,Google Trends exact search term
2025-10-01,1,nigger jokes,US,Google Trends exact search term
2025-11-01,1,nigger jokes,US,Google Trends exact search term
2025-12-01,1,nigger jokes,US,Google Trends exact search term
2026-01-01,1,nigger jokes,US,Google Trends exact search term
2026-02-01,1,nigger jokes,US,Google Trends exact search term
2026-03-01,1,nigger jokes,US,Google Trends exact search term
2026-04-01,0,nigger jokes,US,Google Trends exact search term
2026-05-01,1,nigger jokes,US,Google Trends exact search term
2026-06-01,1,nigger jokes,US,Google Trends exact search term
2026-07-01,1,nigger jokes,US,Google Trends exact search term
2026-08-01,1,nigger jokes,US,Google Trends exact search term
2004-01-01,0,bitch jokes,US,Google Trends exact search term
2004-02-01,0,bitch jokes,US,Google Trends exact search term
2004-03-01,0,bitch jokes,US,Google Trends exact search term
2004-04-01,0,bitch jokes,US,Google Trends exact search term
2004-05-01,0,bitch jokes,US,Google Trends exact search term
2004-06-01,0,bitch jokes,US,Google Trends exact search term
2004-07-01,0,bitch jokes,US,Google Trends exact search term
2004-08-01,0,bitch jokes,US,Google Trends exact search term
2004-09-01,0,bitch jokes,US,Google Trends exact search term
2004-10-01,0,bitch jokes,US,Google Trends exact search term
2004-11-01,0,bitch jokes,US,Google Trends exact search term
2004-12-01,0,bitch jokes,US,Google Trends exact search term
2005-01-01,0,bitch jokes,US,Google Trends exact search term
2005-02-01,0,bitch jokes,US,Google Trends exact search term
2005-03-01,100,bitch jokes,US,Google Trends exact search term
2005-04-01,0,bitch jokes,US,Google Trends exact search term
2005-05-01,75,bitch jokes,US,Google Trends exact search term
2005-06-01,0,bitch jokes,US,Google Trends exact search term
2005-07-01,0,bitch jokes,US,Google Trends exact search term
2005-08-01,0,bitch jokes,US,Google Trends exact search term
2005-09-01,0,bitch jokes,US,Google Trends exact search term
2005-10-01,54,bitch jokes,US,Google Trends exact search term
2005-11-01,64,bitch jokes,US,Google Trends exact search term
2005-12-01,58,bitch jokes,US,Google Trends exact search term
2006-01-01,62,bitch jokes,US,Google Trends exact search term
2006-02-01,0,bitch jokes,US,Google Trends exact search term
2006-03-01,69,bitch jokes,US,Google Trends exact search term
2006-04-01,52,bitch jokes,US,Google Trends exact search term
2006-05-01,71,bitch jokes,US,Google Trends exact search term
2006-06-01,0,bitch jokes,US,Google Trends exact search term
2006-07-01,0,bitch jokes,US,Google Trends exact search term
2006-08-01,0,bitch jokes,US,Google Trends exact search term
2006-09-01,83,bitch jokes,US,Google Trends exact search term
2006-10-01,48,bitch jokes,US,Google Trends exact search term
2006-11-01,35,bitch jokes,US,Google Trends exact search term
2006-12-01,58,bitch jokes,US,Google Trends exact search term
2007-01-01,35,bitch jokes,US,Google Trends exact search term
2007-02-01,55,bitch jokes,US,Google Trends exact search term
2007-03-01,32,bitch jokes,US,Google Trends exact search term
2007-04-01,34,bitch jokes,US,Google Trends exact search term
2007-05-01,44,bitch jokes,US,Google Trends exact search term
2007-06-01,0,bitch jokes,US,Google Trends exact search term
2007-07-01,47,bitch jokes,US,Google Trends exact search term
2007-08-01,40,bitch jokes,US,Google Trends exact search term
2007-09-01,0,bitch jokes,US,Google Trends exact search term
2007-10-01,33,bitch jokes,US,Google Trends exact search term
2007-11-01,27,bitch jokes,US,Google Trends exact search term
2007-12-01,29,bitch jokes,US,Google Trends exact search term
2008-01-01,0,bitch jokes,US,Google Trends exact search term
2008-02-01,41,bitch jokes,US,Google Trends exact search term
2008-03-01,0,bitch jokes,US,Google Trends exact search term
2008-04-01,48,bitch jokes,US,Google Trends exact search term
2008-05-01,35,bitch jokes,US,Google Trends exact search term
2008-06-01,26,bitch jokes,US,Google Trends exact search term
2008-07-01,23,bitch jokes,US,Google Trends exact search term
2008-08-01,38,bitch jokes,US,Google Trends exact search term
2008-09-01,35,bitch jokes,US,Google Trends exact search term
2008-10-01,42,bitch jokes,US,Google Trends exact search term
2008-11-01,48,bitch jokes,US,Google Trends exact search term
2008-12-01,53,bitch jokes,US,Google Trends exact search term
2009-01-01,38,bitch jokes,US,Google Trends exact search term
2009-02-01,42,bitch jokes,US,Google Trends exact search term
2009-03-01,28,bitch jokes,US,Google Trends exact search term
2009-04-01,31,bitch jokes,US,Google Trends exact search term
2009-05-01,37,bitch jokes,US,Google Trends exact search term
2009-06-01,26,bitch jokes,US,Google Trends exact search term
2009-07-01,36,bitch jokes,US,Google Trends exact search term
2009-08-01,0,bitch jokes,US,Google Trends exact search term
2009-09-01,26,bitch jokes,US,Google Trends exact search term
2009-10-01,49,bitch jokes,US,Google Trends exact search term
2009-11-01,45,bitch jokes,US,Google Trends exact search term
2009-12-01,47,bitch jokes,US,Google Trends exact search term
2010-01-01,50,bitch jokes,US,Google Trends exact search term
2010-02-01,32,bitch jokes,US,Google Trends exact search term
2010-03-01,41,bitch jokes,US,Google Trends exact search term
2010-04-01,51,bitch jokes,US,Google Trends exact search term
2010-05-01,41,bitch jokes,US,Google Trends exact search term
2010-06-01,25,bitch jokes,US,Google Trends exact search term
2010-07-01,37,bitch jokes,US,Google Trends exact search term
2010-08-01,25,bitch jokes,US,Google Trends exact search term
2010-09-01,30,bitch jokes,US,Google Trends exact search term
2010-10-01,28,bitch jokes,US,Google Trends exact search term
2010-11-01,27,bitch jokes,US,Google Trends exact search term
2010-12-01,32,bitch jokes,US,Google Trends exact search term
2011-01-01,43,bitch jokes,US,Google Trends exact search term
2011-02-01,38,bitch jokes,US,Google Trends exact search term
2011-03-01,43,bitch jokes,US,Google Trends exact search term
2011-04-01,56,bitch jokes,US,Google Trends exact search term
2011-05-01,57,bitch jokes,US,Google Trends exact search term
2011-06-01,38,bitch jokes,US,Google Trends exact search term
2011-07-01,39,bitch jokes,US,Google Trends exact search term
2011-08-01,54,bitch jokes,US,Google Trends exact search term
2011-09-01,44,bitch jokes,US,Google Trends exact search term
2011-10-01,45,bitch jokes,US,Google Trends exact search term
2011-11-01,51,bitch jokes,US,Google Trends exact search term
2011-12-01,55,bitch jokes,US,Google Trends exact search term
2012-01-01,53,bitch jokes,US,Google Trends exact search term
2012-02-01,49,bitch jokes,US,Google Trends exact search term
2012-03-01,48,bitch jokes,US,Google Trends exact search term
2012-04-01,62,bitch jokes,US,Google Trends exact search term
2012-05-01,56,bitch jokes,US,Google Trends exact search term
2012-06-01,52,bitch jokes,US,Google Trends exact search term
2012-07-01,52,bitch jokes,US,Google Trends exact search term
2012-08-01,44,bitch jokes,US,Google Trends exact search term
2012-09-01,33,bitch jokes,US,Google Trends exact search term
2012-10-01,52,bitch jokes,US,Google Trends exact search term
2012-11-01,44,bitch jokes,US,Google Trends exact search term
2012-12-01,48,bitch jokes,US,Google Trends exact search term
2013-01-01,50,bitch jokes,US,Google Trends exact search term
2013-02-01,45,bitch jokes,US,Google Trends exact search term
2013-03-01,45,bitch jokes,US,Google Trends exact search term
2013-04-01,50,bitch jokes,US,Google Trends exact search term
2013-05-01,46,bitch jokes,US,Google Trends exact search term
2013-06-01,57,bitch jokes,US,Google Trends exact search term
2013-07-01,47,bitch jokes,US,Google Trends exact search term
2013-08-01,46,bitch jokes,US,Google Trends exact search term
2013-09-01,51,bitch jokes,US,Google Trends exact search term
2013-10-01,41,bitch jokes,US,Google Trends exact search term
2013-11-01,60,bitch jokes,US,Google Trends exact search term
2013-12-01,52,bitch jokes,US,Google Trends exact search term
2014-01-01,48,bitch jokes,US,Google Trends exact search term
2014-02-01,51,bitch jokes,US,Google Trends exact search term
2014-03-01,43,bitch jokes,US,Google Trends exact search term
2014-04-01,60,bitch jokes,US,Google Trends exact search term
2014-05-01,50,bitch jokes,US,Google Trends exact search term
2014-06-01,49,bitch jokes,US,Google Trends exact search term
2014-07-01,50,bitch jokes,US,Google Trends exact search term
2014-08-01,38,bitch jokes,US,Google Trends exact search term
2014-09-01,46,bitch jokes,US,Google Trends exact search term
2014-10-01,62,bitch jokes,US,Google Trends exact search term
2014-11-01,48,bitch jokes,US,Google Trends exact search term
2014-12-01,45,bitch jokes,US,Google Trends exact search term
2015-01-01,45,bitch jokes,US,Google Trends exact search term
2015-02-01,50,bitch jokes,US,Google Trends exact search term
2015-03-01,49,bitch jokes,US,Google Trends exact search term
2015-04-01,43,bitch jokes,US,Google Trends exact search term
2015-05-01,50,bitch jokes,US,Google Trends exact search term
2015-06-01,48,bitch jokes,US,Google Trends exact search term
2015-07-01,43,bitch jokes,US,Google Trends exact search term
2015-08-01,39,bitch jokes,US,Google Trends exact search term
2015-09-01,50,bitch jokes,US,Google Trends exact search term
2015-10-01,43,bitch jokes,US,Google Trends exact search term
2015-11-01,40,bitch jokes,US,Google Trends exact search term
2015-12-01,42,bitch jokes,US,Google Trends exact search term
2016-01-01,42,bitch jokes,US,Google Trends exact search term
2016-02-01,41,bitch jokes,US,Google Trends exact search term
2016-03-01,42,bitch jokes,US,Google Trends exact search term
2016-04-01,32,bitch jokes,US,Google Trends exact search term
2016-05-01,44,bitch jokes,US,Google Trends exact search term
2016-06-01,34,bitch jokes,US,Google Trends exact search term
2016-07-01,33,bitch jokes,US,Google Trends exact search term
2016-08-01,24,bitch jokes,US,Google Trends exact search term
2016-09-01,30,bitch jokes,US,Google Trends exact search term
2016-10-01,29,bitch jokes,US,Google Trends exact search term
2016-11-01,36,bitch jokes,US,Google Trends exact search term
2016-12-01,26,bitch jokes,US,Google Trends exact search term
2017-01-01,25,bitch jokes,US,Google Trends exact search term
2017-02-01,28,bitch jokes,US,Google Trends exact search term
2017-03-01,27,bitch jokes,US,Google Trends exact search term
2017-04-01,30,bitch jokes,US,Google Trends exact search term
2017-05-01,29,bitch jokes,US,Google Trends exact search term
2017-06-01,27,bitch jokes,US,Google Trends exact search term
2017-07-01,23,bitch jokes,US,Google Trends exact search term
2017-08-01,27,bitch jokes,US,Google Trends exact search term
2017-09-01,21,bitch jokes,US,Google Trends exact search term
2017-10-01,22,bitch jokes,US,Google Trends exact search term
2017-11-01,27,bitch jokes,US,Google Trends exact search term
2017-12-01,26,bitch jokes,US,Google Trends exact search term
2018-01-01,24,bitch jokes,US,Google Trends exact search term
2018-02-01,26,bitch jokes,US,Google Trends exact search term
2018-03-01,21,bitch jokes,US,Google Trends exact search term
2018-04-01,24,bitch jokes,US,Google Trends exact search term
2018-05-01,15,bitch jokes,US,Google Trends exact search term
2018-06-01,17,bitch jokes,US,Google Trends exact search term
2018-07-01,19,bitch jokes,US,Google Trends exact search term
2018-08-01,20,bitch jokes,US,Google Trends exact search term
2018-09-01,19,bitch jokes,US,Google Trends exact search term
2018-10-01,17,bitch jokes,US,Google Trends exact search term
2018-11-01,20,bitch jokes,US,Google Trends exact search term
2018-12-01,22,bitch jokes,US,Google Trends exact search term
2019-01-01,19,bitch jokes,US,Google Trends exact search term
2019-02-01,19,bitch jokes,US,Google Trends exact search term
2019-03-01,18,bitch jokes,US,Google Trends exact search term
2019-04-01,17,bitch jokes,US,Google Trends exact search term
2019-05-01,23,bitch jokes,US,Google Trends exact search term
2019-06-01,21,bitch jokes,US,Google Trends exact search term
2019-07-01,16,bitch jokes,US,Google Trends exact search term
2019-08-01,20,bitch jokes,US,Google Trends exact search term
2019-09-01,15,bitch jokes,US,Google Trends exact search term
2019-10-01,23,bitch jokes,US,Google Trends exact search term
2019-11-01,24,bitch jokes,US,Google Trends exact search term
2019-12-01,18,bitch jokes,US,Google Trends exact search term
2020-01-01,18,bitch jokes,US,Google Trends exact search term
2020-02-01,23,bitch jokes,US,Google Trends exact search term
2020-03-01,20,bitch jokes,US,Google Trends exact search term
2020-04-01,24,bitch jokes,US,Google Trends exact search term
2020-05-01,17,bitch jokes,US,Google Trends exact search term
2020-06-01,15,bitch jokes,US,Google Trends exact search term
2020-07-01,18,bitch jokes,US,Google Trends exact search term
2020-08-01,20,bitch jokes,US,Google Trends exact search term
2020-09-01,14,bitch jokes,US,Google Trends exact search term
2020-10-01,13,bitch jokes,US,Google Trends exact search term
2020-11-01,13,bitch jokes,US,Google Trends exact search term
2020-12-01,14,bitch jokes,US,Google Trends exact search term
2021-01-01,15,bitch jokes,US,Google Trends exact search term
2021-02-01,11,bitch jokes,US,Google Trends exact search term
2021-03-01,14,bitch jokes,US,Google Trends exact search term
2021-04-01,12,bitch jokes,US,Google Trends exact search term
2021-05-01,20,bitch jokes,US,Google Trends exact search term
2021-06-01,13,bitch jokes,US,Google Trends exact search term
2021-07-01,15,bitch jokes,US,Google Trends exact search term
2021-08-01,10,bitch jokes,US,Google Trends exact search term
2021-09-01,12,bitch jokes,US,Google Trends exact search term
2021-10-01,10,bitch jokes,US,Google Trends exact search term
2021-11-01,0,bitch jokes,US,Google Trends exact search term
2021-12-01,9,bitch jokes,US,Google Trends exact search term
2022-01-01,10,bitch jokes,US,Google Trends exact search term
2022-02-01,12,bitch jokes,US,Google Trends exact search term
2022-03-01,11,bitch jokes,US,Google Trends exact search term
2022-04-01,14,bitch jokes,US,Google Trends exact search term
2022-05-01,11,bitch jokes,US,Google Trends exact search term
2022-06-01,10,bitch jokes,US,Google Trends exact search term
2022-07-01,9,bitch jokes,US,Google Trends exact search term
2022-08-01,7,bitch jokes,US,Google Trends exact search term
2022-09-01,12,bitch jokes,US,Google Trends exact search term
2022-10-01,8,bitch jokes,US,Google Trends exact search term
2022-11-01,10,bitch jokes,US,Google Trends exact search term
