year,food,vehicles,furnishings,clothing,housing,energy,income,basics_percent,necessities_percent,source_version,excluded_from_book
1968,88.832,35.414,26.089,41.26,92.748,23.217,643.928,44.157576623473425,47.763103949509876,2026,False
1969,95.371,37.448,27.589,44.331,100.982,24.968,695.83,43.936162568443436,47.52439532644467,2026,False
1970,103.506,34.538,28.152,45.45,109.422,26.286,761.975,42.13629056071393,45.58601003969946,2026,False
1971,107.125,43.233,29.943,49.047,119.981,27.647,831.08,42.03313760408144,45.35977282572075,2026,False
1972,114.472,49.365,33.522,53.491,131.185,29.393,900.816,42.40988170725209,45.672812205822275,2026,False
1973,126.715,54.358,37.961,59.243,143.485,34.325,1008.373,41.82599097754501,45.22998929959449,2026,False
1974,143.038,48.166,40.89,62.422,158.579,43.849,1100.771,41.161604003012435,45.14508467247048,2026,False
1975,156.566,52.643,42.612,66.867,176.526,48.02,1221.782,40.53210801927022,44.46243274168388,2026,False
1976,167.297,68.172,47.172,72.191,194.663,53.013,1329.976,41.31615908858505,45.30217086624119,2026,False
1977,179.771,79.796,53.355,79.305,217.806,57.817,1461.357,41.74428288227997,45.70067409948425,2026,False
1978,196.112,89.173,59.004,89.318,244.279,61.453,1634.072,41.48446335289999,45.24519115436774,2026,False
1979,218.37,90.175,65.254,96.371,273.403,80.388,1813.796,40.99540411380332,45.42743505884896,2026,False
1980,239.167,84.43,67.844,103.002,312.454,101.898,2024.946,39.84782804084652,44.879962231091596,2026,False
1981,255.338,93.016,71.461,113.178,352.071,113.443,2257.42,39.206882192945926,44.23222085389515,2026,False
1982,267.141,100.014,71.811,116.745,387.498,108.35,2434.718,38.7399690641791,43.1901764393248,2026,False
1983,277.036,122.945,79.77,126.446,421.227,106.456,2628.837,39.082833968024644,43.13238135342739,2026,False
1984,291.102,147.192,88.833,137.622,457.51,108.201,2910.758,38.55555838032568,42.272837522047524,2026,False
1985,302.953,170.065,94.62,146.845,500.61,110.532,3105.08,39.13242170894147,42.69213675654089,2026,False
1986,316.414,187.519,103.454,157.2,536.976,91.191,3293.387,39.5204997165532,42.28941208549132,2026,False
1987,324.313,188.181,109.536,167.727,571.559,96.369,3457.219,39.376041841723065,42.16351350608682,2026,False
1988,342.806,202.213,115.155,178.214,614.438,99.85,3774.082,38.49481807761464,41.14049456265126,2026,False
1989,365.388,207.771,121.388,190.397,655.168,110.439,4053.277,37.99671228983364,40.721396539145985,2026,False
1990,391.176,205.119,120.94,195.245,696.54,124.199,4318.635,37.25760570180161,40.133491253602116,2026,False
1991,402.953,185.748,118.784,199.098,735.248,121.129,4501.012,36.47693007705823,39.168080422802696,2026,False
1992,404.464,204.799,124.288,211.233,771.112,125.008,4804.692,35.71292395017204,38.31471403369873,2026,False
1993,413.472,224.715,131.367,219.053,814.939,126.882,5004.111,36.04128685394868,38.57684212040859,2026,False
1994,432.109,249.843,140.511,227.435,863.343,129.231,5247.849,36.45762292322054,38.92017472301509,2026,False
1995,443.748,255.709,146.742,231.245,913.681,133.404,5534.953,35.97365686754702,38.38386703554664,2026,False
1996,461.879,273.485,153.535,239.542,962.44,144.745,5829.114,35.869619293772615,38.352758240789264,2026,False
1997,474.777,293.082,160.49,247.496,1009.822,147.661,6142.153,35.58470458160192,37.98876387481718,2026,False
1998,487.437,320.205,173.579,257.805,1065.472,132.355,6555.937,35.15131399218754,37.17017109834948,2026,False
1999,515.53,350.73,191.185,271.097,1123.133,146.545,6866.685,35.70390952839689,37.8380543158744,2026,False
2000,540.578,363.228,208.106,280.831,1198.556,184.516,7384.97,35.08882229717927,37.58735648215226,2026,False
2001,564.003,383.289,214.94,277.868,1287.493,177.986,7754.096,35.176157220648285,37.471537623470226,2026,False
2002,575.052,401.347,225.868,278.835,1329.534,167.9,8097.871,34.70833259754323,36.7817170710672,2026,False
2003,599.58,401.518,235.161,285.296,1391.084,196.412,8478.217,34.354381351645046,36.671047697882706,2026,False
2004,632.604,409.311,254.31,297.38,1466.633,232.732,8967.128,34.1272924842826,36.72268311548581,2026,False
2005,668.216,409.954,271.273,310.509,1580.105,283.77,9333.646,34.71373351849856,37.75402452589267,2026,False
2006,700.26,394.949,283.598,320.023,1665.715,319.65,9945.033,33.83141111748951,37.04557843096147,2026,False
2007,737.332,400.573,283.458,323.474,1759.556,345.547,10439.63,33.56817243522998,36.8781269067965,2026,False
2008,769.085,343.337,264.349,317.373,1872.714,391.089,10918.179,32.66898262063665,36.25098104729736,2026,False
2009,772.93,318.583,238.275,304.043,1900.009,287.027,10913.304,32.381027780404544,35.01109288259541,2026,False
2010,786.866,344.466,240.924,316.611,1947.947,336.718,11319.008,32.13014780093803,35.104949126283856,2026,False
2011,819.542,365.178,246.862,332.586,1983.277,413.801,11855.88,31.608324308275726,35.09858399376512,2026,False
2012,846.198,396.608,253.938,345.22,2014.74,421.935,12408.28,31.081697060350024,34.482128062874146,2026,False
2013,870.536,422.128,263.304,354.351,2085.694,421.623,12391.235,32.24870644451501,35.65129706603094,2026,False
2014,910.421,451.591,275.462,368.604,2146.012,410.907,12998.394,31.943100047590494,35.10431365597935,2026,False
2015,942.006,490.733,292.691,380.803,2196.137,318.796,13532.854,31.792037363293808,34.147756267820526,2026,False
2016,969.597,504.624,306.047,392.151,2269.046,287.015,13928.899,31.886691116074573,33.94726316846723,2026,False
2017,1010.444,529.413,319.185,401.084,2350.171,323.983,14613.927,31.547283628828854,33.76423051791623,2026,False
2018,1044.381,549.998,335.953,409.38,2459.308,366.675,15454.039,31.05349999440276,33.42618068972131,2026,False
2019,1083.239,544.955,346.714,414.144,2561.996,352.512,16164.498,30.629147901778328,32.80992703887247,2026,False
2020,1201.722,546.813,380.989,360.435,2687.694,258.458,17383.429,29.784992362554018,31.2717991369827,2026,False
2021,1291.454,696.963,451.228,468.624,2842.804,385.743,18800.904,30.589342937977882,32.641068748609115,2026,False
2022,1394.007,726.402,476.136,494.102,3114.446,514.602,18910.518,32.8129192442005,35.534166753126485,2026,False
2023,1438.287,750.42,479.861,513.336,3375.528,464.897,20749.273,31.603189181616138,33.84373515158819,2026,False
2024,1479.572,732.779,490.018,530.206,3603.64,440.526,21917.657,31.190446132084283,33.20035987423291,2026,False
2025,1529.922,758.834,507.34,561.764,3801.214,422.353,22866.177,31.308574231713507,33.1556385660795,2026,False
