year,food,vehicles,furnishings,clothing,housing,energy,income,basics_percent,necessities_percent,source_version,excluded_from_book,humanprogress_basics_percent
1956,54.2,15.7,14.8,23.4,42.9,13.3,311.8,48.42847979474022,52.6940346375882,2016,False,48.42847979
1957,57.1,17.5,14.8,23.6,45.9,14.2,329.6,48.20995145631068,52.51820388349514,2016,False,48.20995146
1958,59.8,15.0,14.6,23.9,49.2,14.7,340.9,47.66793781167498,51.98005280140804,2016,False,47.66793781
1959,61.6,18.8,15.5,25.4,52.8,15.3,360.9,48.24050983651983,52.47991133277918,2016,False,48.24050984
1960,62.6,19.6,15.4,25.9,56.7,15.8,376.5,47.86188579017264,52.058432934926955,2016,False,47.86188579
1961,63.7,17.7,15.6,26.6,60.3,15.7,393.8,46.69883189436261,50.68562722194007,2016,False,46.69883189
1962,64.7,21.4,16.4,27.9,64.5,16.3,417.5,46.68263473053892,50.58682634730539,2016,False,46.68263473
1963,65.9,24.2,17.5,28.6,68.2,16.9,438.3,46.63472507415013,50.49053159936118,2016,False,46.63472507
1964,69.5,25.8,19.5,31.1,72.1,17.7,476.3,45.76947302120512,49.48561830778921,2016,False,45.76947302
1965,74.4,29.6,20.7,32.7,76.6,19.1,513.2,45.5962587685113,49.31800467653936,2016,False,45.59625877
1966,80.6,29.9,22.6,35.8,81.2,20.7,554.2,45.128112594731135,48.86322627210392,2016,False,45.12811259
1967,82.6,29.6,23.7,37.5,86.3,21.9,592.8,43.809041835357625,47.50337381916329,2016,False,43.80904184
1968,88.8,35.4,26.1,41.3,92.7,23.2,643.8,44.159676918297606,47.76328052190121,2016,False,44.15967692
1969,95.4,37.4,27.6,44.3,101.0,25.0,695.8,43.9350388042541,47.528025294624896,2016,False,43.9350388
1970,103.5,34.5,28.2,45.5,109.4,26.3,761.5,42.16677609980302,45.62048588312541,2016,False,42.1667761
1971,107.1,43.2,29.9,49.0,120.0,27.6,830.4,42.05202312138729,45.37572254335261,2016,False,42.05202312
1972,114.5,49.4,33.5,53.5,131.2,29.4,899.9,42.46027336370708,45.72730303367041,2016,False,42.46027336
1973,126.7,54.4,38.0,59.2,143.5,34.3,1006.1,41.92426200178909,45.33346585826459,2016,False,41.924262
1974,143.0,48.2,40.9,62.4,158.6,43.8,1098.3,41.25466630246745,45.24264772830738,2016,False,41.2546663
1975,156.6,52.6,42.6,66.9,176.5,48.0,1219.3,40.61346674321332,44.5501517264004,2016,False,40.61346674
1976,167.3,68.2,47.2,72.2,194.7,53.0,1325.8,41.45421632222054,45.45180268517121,2016,False,41.45421632
1977,179.8,79.8,53.4,79.3,217.8,57.8,1456.7,41.88233678863184,45.85020937735979,2016,False,41.88233679
1978,196.1,89.2,59.0,89.3,244.3,61.5,1630.1,41.58640574197903,45.35918041837925,2016,False,41.58640574
1979,218.4,90.2,65.3,96.4,273.4,80.4,1809.3,41.104294478527606,45.54800198971978,2016,False,41.10429448
1980,239.2,84.4,67.8,103.0,312.5,101.9,2018.0,39.98513379583747,45.034687809712594,2016,False,39.9851338
1981,255.3,93.0,71.5,113.2,352.1,113.4,2250.7,39.32554316434887,44.36397565201938,2016,False,39.32554316
1982,267.1,100.0,71.8,116.7,387.5,108.4,2424.7,38.895533468057906,43.366189631707016,2016,False,38.89553347
1983,277.0,122.9,79.8,126.4,421.2,106.5,2617.4,39.248872927332464,43.31779628639107,2016,False,39.24887293
1984,291.1,147.2,88.8,137.6,457.5,108.2,2903.9,38.644581424980196,42.370605048383204,2016,False,38.64458142
1985,303.0,170.1,94.6,146.8,500.6,110.5,3098.5,39.21574955623689,42.78199128610618,2016,False,39.21574956
1986,316.4,187.5,103.5,157.2,537.0,91.2,3287.9,39.58757869764895,42.36138568691261,2016,False,39.5875787
1987,324.3,188.2,109.5,167.7,571.6,96.4,3466.3,39.272423044745125,42.053486426448956,2016,False,39.27242304
1988,342.8,202.2,115.2,178.2,614.4,99.9,3770.4,38.53172077233185,41.18130702312752,2016,False,38.53172077
1989,365.4,207.8,121.4,190.4,655.2,110.4,4052.1,38.00992078181684,40.73443399718665,2016,False,38.00992078
1990,391.2,205.1,120.9,195.2,696.5,124.2,4311.8,37.313882833155525,40.19435038730924,2016,False,37.31388283
1991,403.0,185.7,118.8,199.1,735.2,121.1,4484.5,36.61054744118631,39.31095997324117,2016,False,36.61054744
1992,404.5,204.8,124.3,211.2,771.1,125.0,4800.2,35.74642723219866,38.35048539644182,2016,False,35.74642723
1993,413.5,224.7,131.4,219.1,814.9,126.9,5000.2,36.07055717771289,38.60845566177353,2016,False,36.07055718
1994,432.1,249.8,140.5,227.4,863.3,129.2,5244.2,36.480302047976814,38.943976202280616,2016,False,36.48030205
1995,443.7,255.7,146.7,231.2,913.7,133.4,5532.6,35.98669703213679,38.39785995734374,2016,False,35.98669703
1996,461.9,273.5,153.5,239.5,962.4,144.7,5829.9,35.86339388325701,38.34542616511433,2016,False,35.86339388
1997,474.8,293.1,160.5,247.5,1009.8,147.7,6148.8,35.546773354150396,37.948868071818886,2016,False,35.54677335
1998,487.4,320.2,173.6,257.8,1065.5,132.4,6561.3,35.12261289683447,37.14050569246948,2016,False,35.1226129
1999,515.5,350.7,191.2,271.1,1123.1,146.5,6876.3,35.65289472536102,37.783400956909965,2016,False,35.65289473
2000,540.6,363.2,208.1,280.8,1198.6,184.5,7400.5,35.01520167556246,37.508276467806226,2016,False,35.01520168
2001,564.0,383.3,214.9,277.9,1287.5,178.0,7752.3,35.1843968886653,37.48048966113282,2016,False,35.18439689
2002,575.1,401.3,225.9,278.8,1333.6,167.9,8099.2,34.75281509284868,36.82585934413275,2016,False,34.75281509
2003,599.6,401.5,235.2,285.3,1394.1,196.4,8485.8,34.359753941879376,36.67420867802682,2016,False,34.35975394
2004,632.6,409.3,254.3,297.5,1469.1,232.7,9002.3,34.02241649356276,36.607311464847875,2016,False,34.02241649
2005,668.2,410.0,271.3,310.7,1583.6,283.8,9400.8,34.50557399370267,37.52446600289338,2016,False,34.50557399
2006,700.3,395.0,283.6,320.2,1682.4,319.7,10036.9,33.690681385686815,36.875927826320876,2016,False,33.69068139
2007,737.3,400.6,283.5,323.7,1758.2,345.5,10507.0,33.34253354906253,36.630817550204625,2016,False,33.34253355
2008,772.9,339.6,268.7,319.5,1839.1,389.1,10994.4,32.19639088990759,35.73546532780325,2016,False,32.19639089
2009,770.0,317.1,244.3,306.5,1881.0,284.5,10942.5,32.15809915467214,34.75805346127484,2016,False,32.15809915
2010,788.9,342.0,250.4,320.6,1909.0,333.4,11237.9,32.13144804634318,35.09819450253161,2016,False,32.13144805
2011,829.1,363.5,260.7,338.9,1959.9,409.6,11801.4,31.79368549494128,35.264460148795905,2016,False,31.79368549
2012,848.8,395.8,271.4,354.3,1995.4,416.9,12403.7,31.165700557091835,34.52679442424438,2016,False,31.16570056
2013,857.5,416.1,281.6,363.6,2054.2,412.2,12395.8,32.051178625018146,35.376498491424506,2016,False,32.05117863
2014,891.4,442.8,292.1,370.8,2142.8,398.9,13022.7,31.789874603576834,34.85298747571549,2016,False,31.7898746
2015,900.7,464.8,305.1,379.5,2233.2,303.7,13519.8,31.681681681681678,33.92801668663737,2016,False,31.68168168
