year,weight,unit,very_happy_pct,very_happy_pct_n,exciting_pct,exciting_pct_n
1994,wtssps,percent of valid responses,30.003026641039813,2977,47.860350040774094,1978
1996,wtssps,percent of valid responses,32.231732351764144,2885,50.455633661904784,1904
1998,wtssps,percent of valid responses,33.350963658515326,2806,45.267721470994154,1860
2000,wtssps,percent of valid responses,34.74111880239988,2777,46.53430234961031,1838
2002,wtssps,percent of valid responses,32.632113646741274,1369,52.86296037498928,898
2004,wtssps,percent of valid responses,32.212408230600005,1337,48.16355066958577,892
2006,wtssps,percent of valid responses,32.22410360658779,2986,51.02151121209896,1974
2008,wtssps,percent of valid responses,30.899301049348864,2015,47.55078125908178,1337
2010,wtssps,percent of valid responses,28.00956721375389,2039,51.98984847875547,1266
2012,wtssps,percent of valid responses,31.74969614584321,1964,52.705967818950526,1296
2014,wtssps,percent of valid responses,31.919251047289535,2530,51.06563329622598,1700
2016,wtssps,percent of valid responses,30.43349509200075,2859,51.247878162156105,1873
2018,wtssps,percent of valid responses,31.499741274706217,2344,51.563479622559186,1555
2021,wtssps,percent of valid responses,19.369583291258476,4014,35.09790984077131,2669
2022,wtssps,percent of valid responses,24.750820557382124,3520,42.97297712851577,2332
2024,wtssps,percent of valid responses,23.398084989527938,3281,37.274043313479105,2220
