"idper","yearq","year","ager","sex","hispanic","race","race_ethnicity","hincome1","hincome2","marital","popsize","region","msa","locality","educatn1","educatn2","veteran","citizen","newcrime","newoff","seriousviolent","notify","vicservices","locationr","direl","weapon","weapcat","injury","serious","treatment","offenderage","offendersex","offtracenew","wgtviccy","series","newwgt"
"152239341544999999999921601","1993.1","1993","2","2","2","1","1","4","-1","1","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","5","3","2","0","0","1","0","4","1","-1","3174.84103","1","3174.84103"
"152239341544999999999921601","1993.1","1993","2","2","2","1","1","4","-1","1","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","5","3","2","0","0","1","0","4","2","-1","3174.84103","1","3174.84103"
"152239341544999999999921601","1993.1","1993","2","2","2","1","1","4","-1","1","-1","-1","1","-1","5","-1","-2","-1","1","1","1","1","1","2","4","1","4","1","3","2","4","1","-1","3174.84103","1","3174.84103"
"152251481379999999999911503","1993.1","1993","1","1","2","1","1","5","-1","1","-1","-1","2","-1","2","-1","-2","-1","1","3","1","2","2","2","3","1","4","1","3","1","2","1","-1","4394.07054","2","43940.7054"
"152426001909999999999933502","1993.1","1993","2","1","2","1","1","2","-1","1","-1","-1","3","-1","5","-1","-2","-1","1","4","2","1","2","3","4","2","0","0","1","0","4","1","-1","3246.93864","2","32469.3864"
"152519877788999999999911501","1993.1","1993","4","1","2","1","1","7","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","1","2","5","4","2","0","0","1","0","3","1","-1","4275.87911","1","4275.87911"
"152520904383999999999932601","1993.1","1993","4","2","2","1","1","3","-1","5","-1","-1","2","-1","4","-1","-2","-1","1","2","1","1","2","3","4","2","0","0","1","0","5","1","-1","4067.73251","1","4067.73251"
"152537180471999999999922503","1993.1","1993","5","1","2","1","1","5","-1","4","-1","-1","1","-1","4","-1","-2","-1","1","2","1","1","2","3","4","1","1","0","1","0","98","1","-1","3665.40246","1","3665.40246"
"152591127049999999999911603","1993.1","1993","4","2","2","1","1","4","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","1","3","1","4","1","-1","4131.3291","1","4131.3291"
"152591127049999999999911603","1993.1","1993","4","2","2","1","1","4","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","5","4","2","0","0","1","0","4","1","-1","4131.3291","1","4131.3291"
"152591127049999999999911603","1993.1","1993","4","2","2","1","1","4","-1","2","-1","-1","1","-1","5","-1","-2","-1","1","4","2","3","2","5","4","2","0","1","3","1","4","1","-1","4131.3291","1","4131.3291"
"152803619917999999999913603","1993.1","1993","2","1","2","2","2","3","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","2","1","1","2","5","4","1","1","0","1","0","98","1","-1","6338.38873","1","6338.38873"
"152810009289999999999913501","1993.1","1993","4","1","2","1","1","5","-1","2","-1","-1","2","-1","5","-1","-2","-1","1","4","2","1","2","3","4","3","5","0","1","0","4","1","-1","5013.0405","1","5013.0405"
"152840155945999999999942601","1993.1","1993","5","2","2","1","1","1","-1","3","-1","-1","1","-1","5","-1","-2","-1","1","3","1","1","2","1","3","1","2","0","1","0","4","1","-1","4017.0924","1","4017.0924"
"152840155945999999999942601","1993.1","1993","5","2","2","1","1","1","-1","3","-1","-1","1","-1","5","-1","-2","-1","1","4","2","2","2","3","3","2","0","0","1","0","4","1","-1","4017.0924","1","4017.0924"
"152856150464999999999912601","1993.1","1993","4","1","1","1","6","1","-1","1","-1","-1","2","-1","1","-1","-2","-1","1","4","2","2","2","4","3","2","0","0","1","0","3","2","-1","5873.55484","1","5873.55484"
"152866417388999999999913602","1993.1","1993","2","1","2","1","1","5","-1","5","-1","-1","2","-1","4","-1","-2","-1","1","2","1","2","2","3","3","1","1","0","1","0","3","1","-1","4431.793","1","4431.793"
"152866417388999999999913602","1993.1","1993","2","1","2","1","1","5","-1","5","-1","-1","2","-1","4","-1","-2","-1","1","2","1","2","2","5","4","1","4","0","1","0","2","1","-1","4431.793","1","4431.793"
"152874993870999999999912602","1993.1","1993","4","2","1","1","6","98","-1","2","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","1","2","2","0","0","1","0","2","2","-1","3981.74391","1","3981.74391"
"152907190928999999999941501","1993.1","1993","4","1","1","1","6","1","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","2","1","2","2","2","1","2","0","0","1","0","3","1","-1","4646.58328","1","4646.58328"
"152907190928999999999941501","1993.1","1993","4","1","1","1","6","1","-1","1","-1","-1","1","-1","4","-1","-2","-1","1","2","1","2","2","1","1","2","0","1","2","2","3","1","-1","4646.58328","1","4646.58328"
"152907190928999999999941502","1993.1","1993","3","1","1","1","6","1","-1","4","-1","-1","1","-1","5","-1","-2","-1","1","4","2","1","2","3","3","2","0","1","3","1","3","1","-1","4604.63037","1","4604.63037"
"152907190928999999999941502","1993.1","1993","3","1","1","1","6","1","-1","4","-1","-1","1","-1","5","-1","-2","-1","1","1","1","1","2","3","4","2","0","1","3","2","4","1","-1","4604.63037","1","4604.63037"
"152935283241999999999911601","1993.1","1993","4","1","2","1","1","2","-1","1","-1","-1","1","-1","5","-1","-2","-1","1","4","2","1","2","2","3","2","0","0","1","0","3","1","-1","6095.4605","1","6095.4605"
"152989958054999999999911501","1993.1","1993","3","1","2","4","4","5","-1","1","-1","-1","2","-1","5","-1","-2","-1","1","4","2","2","2","3","4","2","0","0","1","0","3","1","-1","5582.81647","1","5582.81647"
"152992291764999999999912604","1993.1","1993","1","2","2","1","1","98","-1","1","-1","-1","2","-1","98","-1","-2","-1","1","2","1","2","2","2","4","2","0","0","1","0","2","1","-1","3363.5782","1","3363.5782"
"152992291764999999999912604","1993.1","1993","1","2","2","1","1","98","-1","1","-1","-1","2","-1","98","-1","-2","-1","1","3","1","2","2","2","4","1","1","0","1","0","3","1","-1","3363.5782","1","3363.5782"
"153183249252999999999932602","1993.1","1993","2","1","2","1","1","4","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","2","3","2","0","1","3","1","3","1","-1","4404.85257","1","4404.85257"
"153262910801999999999911501","1993.1","1993","6","2","2","1","1","2","-1","3","-1","-1","1","-1","3","-1","-2","-1","1","4","2","2","2","3","2","2","0","0","1","0","4","2","-1","2342.67959","1","2342.67959"
"153354240351999999999921601","1993.1","1993","3","1","2","1","1","6","-1","2","-1","-1","2","-1","4","-1","-2","-1","1","4","2","2","2","5","3","2","0","0","1","0","3","1","-1","4720.78669","2","47207.8669"
"153364764601999999999911603","1993.1","1993","2","1","2","1","1","6","-1","1","-1","-1","2","-1","4","-1","-2","-1","1","3","1","2","2","3","4","1","3","0","1","0","4","1","-1","4105.22308","1","4105.22308"
