series,year,value,unit
Sierra Leone,1885,0.04,"mean years of schooling, both sexes age15-64"
Sierra Leone,1890,0.05,"mean years of schooling, both sexes age15-64"
Sierra Leone,1895,0.06,"mean years of schooling, both sexes age15-64"
Sierra Leone,1900,0.08,"mean years of schooling, both sexes age15-64"
Sierra Leone,1905,0.1,"mean years of schooling, both sexes age15-64"
Sierra Leone,1910,0.15,"mean years of schooling, both sexes age15-64"
Sierra Leone,1915,0.18,"mean years of schooling, both sexes age15-64"
Sierra Leone,1920,0.21,"mean years of schooling, both sexes age15-64"
Sierra Leone,1925,0.22,"mean years of schooling, both sexes age15-64"
Sierra Leone,1930,0.24,"mean years of schooling, both sexes age15-64"
Sierra Leone,1935,0.26,"mean years of schooling, both sexes age15-64"
Sierra Leone,1940,0.31,"mean years of schooling, both sexes age15-64"
Sierra Leone,1945,0.36,"mean years of schooling, both sexes age15-64"
Sierra Leone,1950,0.41,"mean years of schooling, both sexes age15-64"
Sierra Leone,1955,0.46,"mean years of schooling, both sexes age15-64"
Sierra Leone,1960,0.51,"mean years of schooling, both sexes age15-64"
Sierra Leone,1965,0.68,"mean years of schooling, both sexes age15-64"
Sierra Leone,1970,0.87,"mean years of schooling, both sexes age15-64"
Sierra Leone,1975,1.14,"mean years of schooling, both sexes age15-64"
Sierra Leone,1980,1.44,"mean years of schooling, both sexes age15-64"
Sierra Leone,1985,1.81,"mean years of schooling, both sexes age15-64"
Sierra Leone,1990,2.17,"mean years of schooling, both sexes age15-64"
Sierra Leone,1995,2.55,"mean years of schooling, both sexes age15-64"
Sierra Leone,2000,2.9,"mean years of schooling, both sexes age15-64"
Sierra Leone,2005,3.36,"mean years of schooling, both sexes age15-64"
Sierra Leone,2010,4.28,"mean years of schooling, both sexes age15-64"
United States,1870,4.28,"mean years of schooling, both sexes age15-64"
United States,1875,4.6,"mean years of schooling, both sexes age15-64"
United States,1880,4.91,"mean years of schooling, both sexes age15-64"
United States,1885,5.18,"mean years of schooling, both sexes age15-64"
United States,1890,5.55,"mean years of schooling, both sexes age15-64"
United States,1895,5.93,"mean years of schooling, both sexes age15-64"
United States,1900,6.38,"mean years of schooling, both sexes age15-64"
United States,1905,6.72,"mean years of schooling, both sexes age15-64"
United States,1910,6.76,"mean years of schooling, both sexes age15-64"
United States,1915,6.97,"mean years of schooling, both sexes age15-64"
United States,1920,7.2,"mean years of schooling, both sexes age15-64"
United States,1925,7.56,"mean years of schooling, both sexes age15-64"
United States,1930,7.9,"mean years of schooling, both sexes age15-64"
United States,1935,8.34,"mean years of schooling, both sexes age15-64"
United States,1940,8.68,"mean years of schooling, both sexes age15-64"
United States,1945,8.93,"mean years of schooling, both sexes age15-64"
United States,1950,8.74,"mean years of schooling, both sexes age15-64"
United States,1955,9.14,"mean years of schooling, both sexes age15-64"
United States,1960,9.63,"mean years of schooling, both sexes age15-64"
United States,1965,10.42,"mean years of schooling, both sexes age15-64"
United States,1970,11.1,"mean years of schooling, both sexes age15-64"
United States,1975,11.73,"mean years of schooling, both sexes age15-64"
United States,1980,12.28,"mean years of schooling, both sexes age15-64"
United States,1985,12.35,"mean years of schooling, both sexes age15-64"
United States,1990,12.55,"mean years of schooling, both sexes age15-64"
United States,1995,12.83,"mean years of schooling, both sexes age15-64"
United States,2000,13.1,"mean years of schooling, both sexes age15-64"
United States,2005,13.01,"mean years of schooling, both sexes age15-64"
United States,2010,13.24,"mean years of schooling, both sexes age15-64"
