series,year,value_book,unit,value_successor,difference
United States,1955,9.14,"mean years of schooling, both sexes age15-64",9.142,0.0019999999999988916
United States,1960,9.63,"mean years of schooling, both sexes age15-64",9.634,0.0039999999999995595
United States,1965,10.42,"mean years of schooling, both sexes age15-64",10.416,-0.0039999999999995595
United States,1970,11.1,"mean years of schooling, both sexes age15-64",11.1,0.0
United States,1975,11.73,"mean years of schooling, both sexes age15-64",11.733,0.0030000000000001137
United States,1980,12.28,"mean years of schooling, both sexes age15-64",12.276,-0.0039999999999995595
United States,1985,12.35,"mean years of schooling, both sexes age15-64",12.351,0.0010000000000012221
United States,1990,12.55,"mean years of schooling, both sexes age15-64",12.554,0.0039999999999995595
United States,1995,12.83,"mean years of schooling, both sexes age15-64",12.826,-0.0039999999999995595
United States,2000,13.1,"mean years of schooling, both sexes age15-64",13.105,0.005000000000000782
United States,2005,13.01,"mean years of schooling, both sexes age15-64",13.011,0.0009999999999994458
United States,2010,13.24,"mean years of schooling, both sexes age15-64",13.245,0.004999999999999005
