Entity,Year,kg_co2_per_2011_int_dollar,period
United Kingdom,1998,0.293845936,book_period_owid_2017
United Kingdom,1999,0.283986849,book_period_owid_2017
United Kingdom,2000,0.279327937,book_period_owid_2017
United Kingdom,2001,0.273961787,book_period_owid_2017
United Kingdom,2002,0.259107702,book_period_owid_2017
United Kingdom,2003,0.255810642,book_period_owid_2017
United Kingdom,2004,0.249149392,book_period_owid_2017
United Kingdom,2005,0.243457116,book_period_owid_2017
United Kingdom,2006,0.237020971,book_period_owid_2017
United Kingdom,2007,0.225551358,book_period_owid_2017
United Kingdom,2008,0.22365152,book_period_owid_2017
United Kingdom,2009,0.211783212,book_period_owid_2017
United Kingdom,2010,0.217269684,book_period_owid_2017
United Kingdom,2011,0.194346303,book_period_owid_2017
United Kingdom,2012,0.200713364,book_period_owid_2017
United Kingdom,2013,0.192610731,book_period_owid_2017
United Kingdom,2014,0.17120115,book_period_owid_2017
United States,1820,0.005044846,book_period_owid_2017
United States,1870,0.197895483,book_period_owid_2017
United States,1900,0.803245033,book_period_owid_2017
United States,1913,0.971304488,book_period_owid_2017
United States,1940,0.806065476,book_period_owid_2017
United States,1950,1.014960726,book_period_owid_2017
United States,1951,1.00794026,book_period_owid_2017
United States,1952,0.938813297,book_period_owid_2017
United States,1953,0.967546149,book_period_owid_2017
United States,1954,0.861144836,book_period_owid_2017
United States,1955,0.925827723,book_period_owid_2017
United States,1956,0.952568004,book_period_owid_2017
United States,1957,0.954096651,book_period_owid_2017
United States,1958,0.860646454,book_period_owid_2017
United States,1959,0.865101792,book_period_owid_2017
United States,1960,0.864783078,book_period_owid_2017
United States,1961,0.812710939,book_period_owid_2017
United States,1962,0.807880281,book_period_owid_2017
United States,1963,0.797412092,book_period_owid_2017
United States,1964,0.78245129,book_period_owid_2017
United States,1965,0.764778611,book_period_owid_2017
United States,1966,0.783738883,book_period_owid_2017
United States,1967,0.776240434,book_period_owid_2017
United States,1968,0.78029103,book_period_owid_2017
United States,1969,0.818245807,book_period_owid_2017
United States,1970,0.853440352,book_period_owid_2017
United States,1971,0.815699781,book_period_owid_2017
United States,1972,0.808744255,book_period_owid_2017
United States,1973,0.847477547,book_period_owid_2017
United States,1974,0.819271439,book_period_owid_2017
United States,1975,0.745937272,book_period_owid_2017
United States,1976,0.747096916,book_period_owid_2017
United States,1977,0.726568551,book_period_owid_2017
United States,1978,0.72468197,book_period_owid_2017
United States,1979,0.725974134,book_period_owid_2017
United States,1980,0.682491703,book_period_owid_2017
United States,1981,0.667930349,book_period_owid_2017
United States,1982,0.608699138,book_period_owid_2017
United States,1983,0.572009427,book_period_owid_2017
United States,1984,0.567563702,book_period_owid_2017
United States,1985,0.550801726,book_period_owid_2017
United States,1986,0.532441307,book_period_owid_2017
United States,1987,0.532856094,book_period_owid_2017
United States,1988,0.537469284,book_period_owid_2017
United States,1989,0.534991403,book_period_owid_2017
United States,1990,0.52178758,book_period_owid_2017
United States,1991,0.521897733,book_period_owid_2017
United States,1992,0.513250694,book_period_owid_2017
United States,1993,0.511656517,book_period_owid_2017
United States,1994,0.498222815,book_period_owid_2017
United States,1995,0.488706699,book_period_owid_2017
United States,1996,0.481767688,book_period_owid_2017
United States,1997,0.471315466,book_period_owid_2017
United States,1998,0.453950261,book_period_owid_2017
United States,1999,0.441956161,book_period_owid_2017
United States,2000,0.439160522,book_period_owid_2017
United States,2001,0.427438388,book_period_owid_2017
United States,2002,0.423353433,book_period_owid_2017
United States,2003,0.414305812,book_period_owid_2017
United States,2004,0.404846333,book_period_owid_2017
United States,2005,0.394031987,book_period_owid_2017
United States,2006,0.377669658,book_period_owid_2017
United States,2007,0.377045341,book_period_owid_2017
United States,2008,0.366722095,book_period_owid_2017
United States,2009,0.353635271,book_period_owid_2017
United States,2010,0.353553944,book_period_owid_2017
United States,2011,0.341154355,book_period_owid_2017
United States,2012,0.322991151,book_period_owid_2017
United States,2013,0.320127818,book_period_owid_2017
United States,2014,0.318480499,book_period_owid_2017
World,1820,0.027042715,book_period_owid_2017
World,1870,0.159793157,book_period_owid_2017
World,1900,0.418786748,book_period_owid_2017
World,1913,0.448922433,book_period_owid_2017
World,1940,0.521826543,book_period_owid_2017
World,1950,0.618392012,book_period_owid_2017
World,1951,0.640732334,book_period_owid_2017
World,1952,0.61967663,book_period_owid_2017
World,1953,0.614550266,book_period_owid_2017
World,1954,0.585256762,book_period_owid_2017
World,1955,0.61202154,book_period_owid_2017
World,1956,0.62856183,book_period_owid_2017
World,1957,0.635022221,book_period_owid_2017
World,1958,0.623243592,book_period_owid_2017
World,1959,0.623767948,book_period_owid_2017
World,1960,0.631108919,book_period_owid_2017
World,1961,0.605289194,book_period_owid_2017
World,1962,0.603910705,book_period_owid_2017
World,1963,0.593894829,book_period_owid_2017
World,1964,0.59661726,book_period_owid_2017
World,1965,0.591271999,book_period_owid_2017
World,1966,0.598836113,book_period_owid_2017
World,1967,0.585729353,book_period_owid_2017
World,1968,0.583402213,book_period_owid_2017
World,1969,0.588582515,book_period_owid_2017
World,1970,0.605975593,book_period_owid_2017
World,1971,0.600582961,book_period_owid_2017
World,1972,0.585689845,book_period_owid_2017
World,1973,0.603494319,book_period_owid_2017
World,1974,0.595588317,book_period_owid_2017
World,1975,0.564569896,book_period_owid_2017
World,1976,0.574207284,book_period_owid_2017
World,1977,0.567211897,book_period_owid_2017
World,1978,0.553964119,book_period_owid_2017
World,1979,0.573274011,book_period_owid_2017
World,1980,0.556375443,book_period_owid_2017
World,1981,0.533371843,book_period_owid_2017
World,1982,0.514179927,book_period_owid_2017
World,1983,0.489915256,book_period_owid_2017
World,1984,0.490668992,book_period_owid_2017
World,1985,0.488240055,book_period_owid_2017
World,1986,0.484620394,book_period_owid_2017
World,1987,0.476503512,book_period_owid_2017
World,1988,0.478762196,book_period_owid_2017
World,1989,0.479191028,book_period_owid_2017
World,1990,0.473537758,book_period_owid_2017
World,1991,0.472886806,book_period_owid_2017
World,1992,0.459966037,book_period_owid_2017
World,1993,0.45077217,book_period_owid_2017
World,1994,0.445243249,book_period_owid_2017
World,1995,0.440091691,book_period_owid_2017
World,1996,0.433337298,book_period_owid_2017
World,1997,0.423778525,book_period_owid_2017
World,1998,0.414932174,book_period_owid_2017
World,1999,0.399638837,book_period_owid_2017
World,2000,0.391569748,book_period_owid_2017
World,2001,0.391364729,book_period_owid_2017
World,2002,0.386446287,book_period_owid_2017
World,2003,0.392918591,book_period_owid_2017
World,2004,0.391319997,book_period_owid_2017
World,2005,0.387892458,book_period_owid_2017
World,2006,0.38145295,book_period_owid_2017
World,2007,0.368973215,book_period_owid_2017
World,2008,0.370123036,book_period_owid_2017
World,2009,0.367930524,book_period_owid_2017
World,2010,0.366804575,book_period_owid_2017
World,2011,0.367184905,book_period_owid_2017
World,2012,0.362166041,book_period_owid_2017
World,2013,0.35421015,book_period_owid_2017
World,2014,0.345394033,book_period_owid_2017
