year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows,release
2015,4.34375,4.212121212121212,160,165,167,p4v2015
1800,-7.363636363636363,-7.363636363636363,22,22,22,p4v2018
1801,-7.238095238095238,-7.238095238095238,21,21,22,p4v2018
1802,-7.363636363636363,-7.363636363636363,22,22,22,p4v2018
1803,-7.363636363636363,-7.363636363636363,22,22,22,p4v2018
1804,-7.363636363636363,-7.363636363636363,22,22,22,p4v2018
1805,-7.238095238095238,-7.238095238095238,21,21,22,p4v2018
1806,-7.363636363636363,-7.363636363636363,22,22,23,p4v2018
1807,-7.238095238095238,-7.238095238095238,21,21,23,p4v2018
1808,-7.1,-7.1,20,20,23,p4v2018
1809,-6.684210526315789,-6.8,19,20,23,p4v2018
1810,-6.684210526315789,-6.8,19,20,23,p4v2018
1811,-6.8,-6.904761904761905,20,21,24,p4v2018
1812,-6.857142857142857,-6.857142857142857,21,21,24,p4v2018
1813,-6.857142857142857,-6.857142857142857,21,21,24,p4v2018
1814,-6.782608695652174,-6.782608695652174,23,23,25,p4v2018
1815,-7.366666666666666,-7.366666666666666,30,30,31,p4v2018
1816,-7.451612903225806,-7.451612903225806,31,31,32,p4v2018
1817,-7.451612903225806,-7.451612903225806,31,31,32,p4v2018
1818,-7.34375,-7.34375,32,32,33,p4v2018
1819,-7.242424242424242,-7.242424242424242,33,33,34,p4v2018
1820,-6.852941176470588,-6.742857142857143,34,35,35,p4v2018
1821,-6.694444444444445,-6.594594594594595,36,37,37,p4v2018
1822,-6.594594594594595,-6.5,37,38,38,p4v2018
1823,-6.552631578947368,-6.552631578947368,38,38,38,p4v2018
1824,-6.358974358974359,-6.275,39,40,40,p4v2018
1825,-6.2439024390243905,-6.119047619047619,41,42,42,p4v2018
1826,-6.2439024390243905,-6.071428571428571,41,42,42,p4v2018
1827,-6.214285714285714,-6.0,42,43,43,p4v2018
1828,-6.046511627906977,-6.046511627906977,43,43,43,p4v2018
1829,-6.071428571428571,-6.046511627906977,42,43,43,p4v2018
1830,-5.76595744680851,-5.75,47,48,48,p4v2018
1831,-5.717391304347826,-5.6875,46,48,48,p4v2018
1832,-5.553191489361702,-5.530612244897959,47,49,49,p4v2018
1833,-5.586956521739131,-5.541666666666667,46,48,48,p4v2018
1834,-5.630434782608695,-5.541666666666667,46,48,48,p4v2018
1835,-5.729166666666667,-5.729166666666667,48,48,48,p4v2018
1836,-5.617021276595745,-5.5625,47,48,48,p4v2018
1837,-5.416666666666667,-5.416666666666667,48,48,48,p4v2018
1838,-5.18,-5.18,50,50,50,p4v2018
1839,-5.196078431372549,-5.196078431372549,51,51,51,p4v2018
1840,-5.196078431372549,-5.196078431372549,51,51,51,p4v2018
1841,-5.019607843137255,-5.019607843137255,51,51,52,p4v2018
1842,-5.0576923076923075,-5.0576923076923075,52,52,52,p4v2018
1843,-5.0576923076923075,-5.0576923076923075,52,52,52,p4v2018
1844,-5.037735849056604,-5.037735849056604,53,53,53,p4v2018
1845,-5.056603773584905,-5.056603773584905,53,53,53,p4v2018
1846,-5.038461538461538,-5.038461538461538,52,52,53,p4v2018
1847,-4.867924528301887,-4.867924528301887,53,53,54,p4v2018
1848,-3.981132075471698,-4.074074074074074,53,54,55,p4v2018
1849,-3.8703703703703702,-3.963636363636364,54,55,55,p4v2018
1850,-3.9454545454545458,-3.9454545454545458,55,55,55,p4v2018
1851,-4.037037037037037,-3.981818181818182,54,55,55,p4v2018
1852,-4.226415094339623,-4.222222222222222,53,54,55,p4v2018
1853,-3.9814814814814814,-3.9814814814814814,54,54,55,p4v2018
1854,-3.8392857142857144,-3.8392857142857144,56,56,56,p4v2018
1855,-3.75,-3.75,56,56,57,p4v2018
1856,-3.75,-3.75,56,56,57,p4v2018
1857,-3.508771929824561,-3.508771929824561,57,57,58,p4v2018
1858,-3.526315789473684,-3.6206896551724137,57,58,58,p4v2018
1859,-3.4655172413793105,-3.542372881355932,58,59,59,p4v2018
1860,-3.3518518518518516,-3.4482758620689653,54,58,59,p4v2018
1861,-2.7884615384615383,-2.872727272727273,52,55,56,p4v2018
1862,-2.7450980392156863,-2.7454545454545456,51,55,55,p4v2018
1863,-2.803921568627451,-2.6666666666666665,51,54,55,p4v2018
1864,-2.792452830188679,-2.7454545454545456,53,55,55,p4v2018
1865,-2.7962962962962963,-2.7818181818181817,54,55,55,p4v2018
1866,-2.9444444444444446,-2.909090909090909,54,55,55,p4v2018
1867,-2.5357142857142856,-2.5517241379310347,56,58,58,p4v2018
1868,-2.4545454545454546,-2.5517241379310347,55,58,58,p4v2018
1869,-2.327272727272727,-2.431034482758621,55,58,58,p4v2018
1870,-2.309090909090909,-2.3275862068965516,55,58,58,p4v2018
1871,-2.0185185185185186,-2.070175438596491,54,57,57,p4v2018
1872,-1.68,-1.679245283018868,50,53,53,p4v2018
1873,-1.75,-1.679245283018868,52,53,53,p4v2018
1874,-1.6274509803921569,-1.5849056603773586,51,53,53,p4v2018
1875,-1.607843137254902,-1.490566037735849,51,53,53,p4v2018
1876,-1.6862745098039216,-1.6226415094339623,51,53,53,p4v2018
1877,-1.5576923076923077,-1.660377358490566,52,53,53,p4v2018
1878,-1.5576923076923077,-1.679245283018868,52,53,53,p4v2018
1879,-1.4150943396226414,-1.5555555555555556,53,54,54,p4v2018
1880,-1.0925925925925926,-1.0925925925925926,54,54,54,p4v2018
1881,-1.0754716981132075,-1.0754716981132075,53,53,54,p4v2018
1882,-1.0754716981132075,-1.0754716981132075,53,53,54,p4v2018
1883,-1.0,-1.0,54,54,54,p4v2018
1884,-1.0925925925925926,-1.0925925925925926,54,54,54,p4v2018
1885,-1.0925925925925926,-1.0925925925925926,54,54,54,p4v2018
