year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows,release,score,polity2_minus_hp
1905,-0.3518518518518518,-0.4464285714285714,54,56,56,p5v2018,-0.2,-0.24642857142857139
1906,-0.2407407407407407,-0.1785714285714285,54,56,56,p5v2018,0.0363636363636363,-0.21493506493506478
1907,-0.5094339622641509,-0.4821428571428571,53,56,57,p5v2018,-0.2232142857142857,-0.2589285714285714
1908,-0.0555555555555555,-0.0175438596491228,54,57,57,p5v2018,0.1607142857142857,-0.1782581453634085
1909,-0.037037037037037,0.0350877192982456,54,57,57,p5v2018,0.2142857142857142,-0.17919799498746858
1910,0.074074074074074,0.2586206896551724,54,58,58,p5v2018,0.4385964912280701,-0.17997580157289772
1911,0.4807692307692308,0.543859649122807,52,57,57,p5v2018,0.7349953831948292,-0.1911357340720221
1912,0.4423076923076923,0.6071428571428571,52,56,57,p5v2018,0.8734995383194829,-0.2663566811766258
1913,0.82,0.9454545454545454,50,55,56,p5v2018,0.854507680684966,0.09094686476957947
1914,0.4313725490196078,0.6727272727272727,51,55,57,p5v2018,0.7866276192047518,-0.11390034647747904
1915,0.6,0.7037037037037037,50,54,57,p5v2018,0.7377907935984162,-0.03408708989471243
1916,0.6875,0.8076923076923077,48,52,57,p5v2018,0.7751608645438047,0.03253144314850298
1917,1.1320754716981132,1.1428571428571428,53,56,59,p5v2018,1.2354465709728866,-0.09258942811574378
1918,1.5192307692307692,1.4137931034482758,52,58,63,p5v2018,1.6853912640839637,-0.27159816063568787
1919,1.509433962264151,1.4827586206896552,53,58,63,p5v2018,1.7195439110973916,-0.23678529040773633
1920,1.827586206896552,1.852459016393443,58,61,64,p5v2018,1.9004632794106475,-0.04800426301720462
1921,2.1,2.0161290322580645,60,62,65,p5v2018,2.1696606035106263,-0.15353157125256178
1922,2.0833333333333335,1.8461538461538465,60,65,67,p5v2018,2.169036471484452,-0.32288262533060563
1923,1.7833333333333334,1.53125,60,64,66,p5v2018,1.8140994256661331,-0.28284942566613314
1924,1.360655737704918,1.123076923076923,61,65,68,p5v2018,1.460381413285193,-0.33730449020827
1925,1.0151515151515151,0.9104477611940298,66,67,68,p5v2018,1.2503678613718987,-0.3399201001778689
1926,0.84375,0.7611940298507462,64,67,69,p5v2018,1.039760863731272,-0.27856683388052583
1927,0.859375,0.6567164179104478,64,67,69,p5v2018,0.9504828052284672,-0.2937663873180194
1928,0.4393939393939394,0.3970588235294117,66,68,69,p5v2018,0.7435576879021333,-0.3464988643727216
1929,0.2878787878787879,0.1470588235294117,66,68,69,p5v2018,0.6395737470463873,-0.49251492351697557
1930,0.0634920634920634,-0.0441176470588235,63,68,69,p5v2018,0.4620603944259355,-0.506178041484759
1931,0.0153846153846153,-0.2058823529411764,65,68,69,p5v2018,0.2992529241584249,-0.5051352770996014
1932,0.0307692307692307,-0.1764705882352941,65,68,69,p5v2018,0.3276219244791496,-0.5040925127144438
1933,-0.46875,-0.5441176470588235,64,68,69,p5v2018,-0.0263620163765962,-0.5177556306822273
1934,-0.8769230769230769,-0.9855072463768116,65,69,69,p5v2018,-0.5421106631146951,-0.4433965832621165
1935,-0.8823529411764706,-0.9857142857142858,68,70,70,p5v2018,-0.5497743923186954,-0.43593989339559036
1936,-1.5217391304347827,-1.5217391304347827,69,69,70,p5v2018,-1.1594976963504449,-0.36224143408433784
1937,-1.0149253731343284,-1.0735294117647058,67,68,70,p5v2018,-0.8271920148749481,-0.24633739688975775
1938,-1.0461538461538462,-1.0294117647058822,65,68,70,p5v2018,-0.7267703913704658,-0.3026413733354164
1939,-1.015625,-0.9701492537313432,64,67,70,p5v2018,-0.713305289605114,-0.25684396412622923
1940,-2.210526315789474,-2.180327868852459,57,61,70,p5v2018,-1.1636083037817913,-1.0167195650706677
1941,-1.9019607843137256,-1.7321428571428572,51,56,67,p5v2018,-0.9299812241818268,-0.8021616329610304
1942,-1.981132075471698,-1.8103448275862069,53,58,67,p5v2018,-0.9721205139449792,-0.8382243136412276
1943,-1.8846153846153848,-1.6610169491525424,52,59,68,p5v2018,-0.7595516547007188,-0.9014652944518236
1944,-0.8518518518518519,-0.8064516129032258,54,62,69,p5v2018,-0.1987208193243545,-0.6077307935788713
1945,-0.087719298245614,-0.044776119402985,57,67,72,p5v2018,-0.1013642057629471,0.05658808635996209
1946,0.3709677419354839,0.1617647058823529,62,68,71,p5v2018,0.1622800668913952,-0.0005153610090423144
1947,0.2769230769230769,0.0579710144927536,65,69,73,p5v2018,0.1407707691975896,-0.082799754704836
1948,0.0684931506849315,-0.027027027027027,73,74,78,p5v2018,0.2285301139907694,-0.25555714101779636
1949,-0.0266666666666666,-0.1038961038961039,75,77,79,p5v2018,-0.0716591896223653,-0.03223691427373861
1950,-0.2236842105263158,-0.2597402597402597,76,77,79,p5v2018,0.1981562393548282,-0.4578964990950879
1951,-0.2179487179487179,-0.3037974683544304,78,79,81,p5v2018,0.1156305466288812,-0.4194280149833116
1952,0.050632911392405,-0.037037037037037,79,81,81,p5v2018,0.1590080173517592,-0.1960450543887962
1953,-0.1234567901234567,-0.1204819277108433,81,83,83,p5v2018,-0.1186801886091997,-0.0018017391016436068
1954,-0.2926829268292683,-0.3928571428571428,82,84,84,p5v2018,-0.2210024137036295,-0.1718547291535133
1955,-0.2976190476190476,-0.3647058823529411,84,85,85,p5v2018,-0.1199352434800979,-0.2447706388728432
1956,0.0588235294117647,0.0344827586206896,85,87,88,p5v2018,0.1718327371393451,-0.1373499785186555
1957,0.0459770114942528,0.0224719101123595,87,89,89,p5v2018,0.4682329150062452,-0.4457610048938857
1958,-0.4431818181818182,-0.449438202247191,88,89,90,p5v2018,0.2083214608297289,-0.6577596630769199
1959,-0.3033707865168539,-0.3,89,90,91,p5v2018,0.3711403762604779,-0.671140376260478
1960,-0.3867924528301887,-0.3486238532110092,106,109,110,p5v2018,-0.2393764690462186,-0.1092473841647906
1961,-0.5185185185185185,-0.5663716814159292,108,113,113,p5v2018,-0.3760073045150069,-0.19036437690092228
1962,-0.6756756756756757,-0.7606837606837606,111,117,117,p5v2018,-0.4901822864812166,-0.27050147420254406
1963,-0.7982456140350878,-0.7983193277310925,114,119,119,p5v2018,-0.7607274793975561,-0.03759184833353635
1964,-1.0175438596491229,-1.0578512396694215,114,121,121,p5v2018,-0.8204980439805734,-0.23735319568884816
1965,-1.1260504201680672,-1.098360655737705,119,122,123,p5v2018,-0.9022784948155196,-0.19608216092218544
1966,-1.4049586776859504,-1.376,121,125,126,p5v2018,-0.9748583050572074,-0.4011416949427925
1967,-1.6666666666666667,-1.6111111111111112,123,126,127,p5v2018,-1.2184963983702763,-0.3926147127408348
1968,-1.5634920634920637,-1.5546875,126,128,130,p5v2018,-1.109861448230567,-0.4448260517694329
1969,-1.921259842519685,-1.8837209302325584,127,129,130,p5v2018,-1.3476986345599915,-0.5360222956725669
1970,-1.811023622047244,-1.8307692307692307,127,130,131,p5v2018,-1.310761823688019,-0.5200074070812117
1971,-2.263565891472868,-2.218045112781955,129,133,134,p5v2018,-1.7385114420578165,-0.47953367072413844
1972,-2.6564885496183206,-2.58955223880597,131,134,135,p5v2018,-2.1190339726294045,-0.47051826617656545
1973,-2.507575757575758,-2.466666666666667,132,135,135,p5v2018,-2.040504822206482,-0.4261618444601849
1974,-2.546153846153846,-2.411764705882353,130,136,136,p5v2018,-1.9096299900408251,-0.5021347158415277
1975,-2.510948905109489,-2.4225352112676055,137,142,142,p5v2018,-1.8677333871913948,-0.5548018240762107
1976,-2.6714285714285713,-2.6267605633802815,140,142,142,p5v2018,-2.1160649497412716,-0.51069561363901
1977,-2.739130434782609,-2.640845070422535,138,142,142,p5v2018,-2.155200319914555,-0.48564475050797995
1978,-2.231884057971014,-2.195804195804196,138,143,143,p5v2018,-1.6867422341699037,-0.5090619616342922
1979,-1.8235294117647056,-1.75,136,140,143,p5v2018,-1.2688649445322058,-0.4811350554677942
1980,-1.9855072463768115,-1.9225352112676055,138,142,144,p5v2018,-1.491832725317043,-0.4307024859505626
1981,-1.9130434782608696,-1.8309859154929575,138,142,144,p5v2018,-1.5176174075103306,-0.31336850798262694
1982,-1.8848920863309353,-1.8450704225352113,139,142,144,p5v2018,-1.430726033365591,-0.41434438916962035
1983,-1.683453237410072,-1.647887323943662,139,142,144,p5v2018,-1.2170740958405684,-0.43081322810309364
1984,-1.7285714285714286,-1.704225352112676,140,142,144,p5v2018,-1.2780700456394902,-0.4261553064731858
1985,-1.525179856115108,-1.5,139,142,144,p5v2018,-1.0221645869877076,-0.4778354130122924
1986,-1.3741007194244603,-1.3380281690140845,139,142,144,p5v2018,-0.9000619452373334,-0.4379662237767511
1987,-1.2733812949640289,-1.2394366197183098,139,142,144,p5v2018,-0.8342973316559734,-0.40513928806233634
1988,-0.9571428571428572,-0.943661971830986,140,142,144,p5v2018,-0.5713496194830642,-0.3723123523479218
1989,-0.427536231884058,-0.4405594405594406,138,143,144,p5v2018,-0.1302328932256479,-0.31032654733379267
1990,0.7028985507246377,0.5902777777777778,138,144,147,p5v2018,0.7274151181790546,-0.13713734040127679
1991,1.4899328859060403,1.35,149,160,161,p5v2018,1.4213644392110685,-0.07136443921106839
1992,2.068027210884354,1.93125,147,160,161,p5v2018,2.043513808139535,-0.11226380813953529
1993,2.2582781456953644,2.1226993865030677,151,163,164,p5v2018,2.308888571836211,-0.18618918533314321
1994,2.5657894736842106,2.4012345679012346,152,162,163,p5v2018,2.5750642031673565,-0.17382963526612194
1995,2.5163398692810457,2.3664596273291925,153,161,163,p5v2018,2.5501363766867646,-0.18367674935757217
1996,2.3630573248407645,2.279503105590062,157,161,163,p5v2018,2.441411857594028,-0.1619087520039657
1997,2.348101265822785,2.3043478260869565,158,161,163,p5v2018,2.419107091587712,-0.11475926550075544
1998,2.628205128205128,2.540372670807453,156,161,163,p5v2018,2.575814671260408,-0.03544200045295476
1999,2.8,2.739130434782609,155,161,163,p5v2018,2.794250645994832,-0.055120211212223325
2000,3.0064516129032257,2.9565217391304346,155,161,163,p5v2018,2.957131065173701,-0.0006093260432664671
2001,3.238709677419355,3.15,155,160,163,p5v2018,3.104138468479554,0.04586153152044581
2002,3.3333333333333335,3.2422360248447206,156,161,164,p5v2018,3.2189302529400976,0.02330577190462302
2003,3.344155844155844,3.270440251572327,154,159,164,p5v2018,3.213419698565757,0.057020553006570385
2004,3.4675324675324677,3.40625,154,160,164,p5v2018,3.3494879871971475,0.056762012802852535
2005,3.7051282051282057,3.6645962732919255,156,161,164,p5v2018,3.5587270075358557,0.10586926575606981
2006,3.7950310559006217,3.748466257668712,161,163,166,p5v2018,3.627705627705628,0.12076062996308412
2007,3.76875,3.7222222222222223,160,162,165,p5v2018,3.606707317073171,0.11551490514905138
2008,3.869565217391304,3.822085889570552,161,163,166,p5v2018,3.72987012987013,0.09221575970042206
2009,3.857142857142857,3.8098159509202456,161,163,166,p5v2018,3.7294372294372296,0.08037872148301606
2010,3.93125,3.859756097560976,160,164,166,p5v2018,3.801731601731602,0.05802449582937408
2011,4.080246913580247,4.03030303030303,162,165,168,p5v2018,4.013339070567986,0.016963959735043943
2012,4.125,4.012121212121212,160,165,167,p5v2018,4.012987012987013,-0.0008658008658013472
2013,4.26875,4.175757575757576,160,165,167,p5v2018,4.185281385281385,-0.00952380952380949
2014,4.236024844720497,4.108433734939759,161,166,167,p5v2018,4.121951219512195,-0.013517484572436622
2015,4.35,4.204819277108434,160,166,167,p5v2018,4.233128834355829,-0.028309557247395034
2016,4.228395061728395,4.156626506024097,162,166,167,p5v2018,,
2017,4.214723926380368,4.13855421686747,163,166,167,p5v2018,,
2018,4.196319018404908,4.108433734939759,163,166,167,p5v2018,,
